Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,3
Fine Gain:,0
Upper Discriminator:,262
Lower Discriminator:,0
Calibration Coefficients:Elapsed Real Time:,418960.59
Elapsed Live Time:,417347.33
Start Time:,Thursday, February 26, 2026, 17:44:33
End Time:,Tuesday, March 03, 2026, 14:07:16
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,23
8,,3109
9,,45735
10,,105582
11,,49179
12,,34001
13,,11007
14,,733
15,,552
16,,118
17,,3
18,,1
19,,10
20,,32
21,,106
22,,242
23,,616
24,,1448
25,,2755
26,,5323
27,,9065
28,,14351
29,,21317
30,,29669
31,,39151
32,,50607
33,,61232
34,,73780
35,,83801
36,,96753
37,,106641
38,,118386
39,,128496
40,,140506
41,,148526
42,,159508
43,,168339
44,,180573
45,,189077
46,,202417
47,,213726
48,,229519
49,,240561
50,,259149
51,,269922
52,,288660
53,,302267
54,,317606
55,,333045
56,,347586
57,,362177
58,,376784
59,,390034
60,,409433
61,,423617
62,,439719
63,,453214
64,,469843
65,,466963
66,,502407
67,,489222
68,,501531
69,,496676
70,,501997
71,,503689
72,,512966
73,,510814
74,,519557
75,,517278
76,,526597
77,,523713
78,,525798
79,,521138
80,,527181
81,,519179
82,,525236
83,,516448
84,,521101
85,,514381
86,,513962
87,,511637
88,,513842
89,,509368
90,,510950
91,,504578
92,,508272
93,,502646
94,,502226
95,,496795
96,,500229
97,,487333
98,,498910
99,,486232
100,,489714
101,,481207
102,,482330
103,,476209
104,,477701
105,,470528
106,,472609
107,,461240
108,,464890
109,,455672
110,,453560
111,,447232
112,,447384
113,,436421
114,,440653
115,,428057
116,,429828
117,,422948
118,,418847
119,,414842
120,,410114
121,,405904
122,,401560
123,,394340
124,,395518
125,,387781
126,,383255
127,,379380
128,,564063
129,,177604
130,,375844
131,,359493
132,,362031
133,,352349
134,,351330
135,,346062
136,,345629
137,,339525
138,,338368
139,,332511
140,,333670
141,,328141
142,,324957
143,,321544
144,,321815
145,,316923
146,,318808
147,,311063
148,,311432
149,,306714
150,,304053
151,,300093
152,,299308
153,,294627
154,,293779
155,,286643
156,,287175
157,,282417
158,,278571
159,,275744
160,,274431
161,,268567
162,,271196
163,,263799
164,,266129
165,,260143
166,,259063
167,,254857
168,,255817
169,,251703
170,,252117
171,,246669
172,,247890
173,,243272
174,,243425
175,,239596
176,,242245
177,,239743
178,,241821
179,,238172
180,,240610
181,,239109
182,,239758
183,,239805
184,,240834
185,,240752
186,,240164
187,,237833
188,,239057
189,,236405
190,,232930
191,,230191
192,,282563
193,,162961
194,,228044
195,,213621
196,,213079
197,,205813
198,,201011
199,,195950
200,,193329
201,,187358
202,,185485
203,,179075
204,,177837
205,,172926
206,,170389
207,,166748
208,,165909
209,,163563
210,,162769
211,,158738
212,,159439
213,,156482
214,,156138
215,,154187
216,,153610
217,,152404
218,,152034
219,,149421
220,,150876
221,,149302
222,,147340
223,,146368
224,,175500
225,,116022
226,,147596
227,,143229
228,,144045
229,,141605
230,,141969
231,,140387
232,,140294
233,,137062
234,,137378
235,,133495
236,,134404
237,,132584
238,,130270
239,,128102
240,,127599
241,,124162
242,,124384
243,,120152
244,,120797
245,,118616
246,,116094
247,,115651
248,,114082
249,,113045
250,,112590
251,,110370
252,,111479
253,,110922
254,,109536
255,,109895
256,,165244
257,,103464
258,,116899
259,,109072
260,,110920
261,,110517
262,,111002
263,,111640
264,,112475
265,,111205
266,,112662
267,,111780
268,,112784
269,,111237
270,,110897
271,,110457
272,,110763
273,,109126
274,,109953
275,,107421
276,,106500
277,,105068
278,,103661
279,,101019
280,,100771
281,,98513
282,,96508
283,,93023
284,,93173
285,,89991
286,,88192
287,,85587
288,,84748
289,,80986
290,,81753
291,,78638
292,,78163
293,,75678
294,,74619
295,,73057
296,,72275
297,,70512
298,,70250
299,,68708
300,,69479
301,,67592
302,,67967
303,,66204
304,,66837
305,,65370
306,,65619
307,,64396
308,,64531
309,,63723
310,,63281
311,,63628
312,,63089
313,,62858
