Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,908.00
Elapsed Live Time:,
Start Time:,Thursday, March 05, 2026, 14:41:28
End Time:,Thursday, March 05, 2026, 14:56:36
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,1
13,,9
14,,14
15,,8
16,,0
17,,0
18,,0
19,,6
20,,14
21,,28
22,,63
23,,105
24,,204
25,,313
26,,486
27,,676
28,,892
29,,1119
30,,1402
31,,1536
32,,1837
33,,1933
34,,2215
35,,2245
36,,2495
37,,2557
38,,2663
39,,2716
40,,2890
41,,3035
42,,3105
43,,3182
44,,3407
45,,3392
46,,3586
47,,3642
48,,3727
49,,3652
50,,3790
51,,3634
52,,3470
53,,3482
54,,3489
55,,3369
56,,3244
57,,3341
58,,3321
59,,3317
60,,3181
61,,3246
62,,3270
63,,3288
64,,3393
65,,3211
66,,3492
67,,3281
68,,3206
69,,3235
70,,3278
71,,3359
72,,3366
73,,3278
74,,3321
75,,3287
76,,3394
77,,3306
78,,3227
79,,3091
80,,3340
81,,3210
82,,3193
83,,3173
84,,3217
85,,3202
86,,3227
87,,3113
88,,3213
89,,3132
90,,3261
91,,3174
92,,3076
93,,3111
94,,3061
95,,3018
96,,3075
97,,2899
98,,3038
99,,2921
100,,2974
101,,2965
102,,3051
103,,3012
104,,2879
105,,2968
106,,2967
107,,2832
108,,2964
109,,2984
110,,2855
111,,2969
112,,3002
113,,3003
114,,2972
115,,2944
116,,3044
117,,2950
118,,3156
119,,3118
120,,3253
121,,3265
122,,3376
123,,3433
124,,3482
125,,3623
126,,3552
127,,3649
128,,5577
129,,1810
130,,3868
131,,3818
132,,3796
133,,3659
134,,3665
135,,3563
136,,3633
137,,3576
138,,3451
139,,3530
140,,3244
141,,3248
142,,3050
143,,3053
144,,2910
145,,2880
146,,2795
147,,2807
148,,2707
149,,2672
150,,2656
151,,2535
152,,2587
153,,2563
154,,2522
155,,2537
156,,2472
157,,2464
158,,2352
159,,2329
160,,2286
161,,2424
162,,2383
163,,2249
164,,2324
165,,2287
166,,2349
167,,2379
168,,2400
169,,2322
170,,2281
171,,2387
172,,2289
173,,2183
174,,2327
175,,2227
176,,2228
177,,2154
178,,2164
179,,2159
180,,2212
181,,2103
182,,2152
183,,2104
184,,2080
185,,2006
186,,2079
187,,2053
188,,2030
189,,1997
190,,2057
191,,2042
192,,2550
193,,1603
194,,2159
195,,2072
196,,2113
197,,2087
198,,2055
199,,2090
200,,2190
201,,2122
202,,2196
203,,2132
204,,2122
205,,2174
206,,2115
207,,2186
208,,2065
209,,1987
210,,2096
211,,1975
212,,1984
213,,1901
214,,1916
215,,1889
216,,1879
217,,1839
218,,1897
219,,1695
220,,1774
221,,1671
222,,1694
223,,1698
224,,2090
225,,1422
226,,1722
227,,1681
228,,1758
229,,1705
230,,1663
231,,1618
232,,1610
233,,1568
234,,1519
235,,1532
236,,1624
237,,1546
238,,1558
239,,1603
240,,1522
241,,1585
242,,1518
243,,1513
244,,1594
245,,1585
246,,1505
247,,1499
248,,1569
249,,1499
250,,1505
251,,1487
252,,1467
253,,1576
254,,1466
255,,1486
256,,2317
257,,1375
258,,1613
259,,1484
260,,1501
261,,1561
262,,1466
263,,1506
264,,1470
265,,1433
266,,1457
267,,1417
268,,1541
269,,1459
270,,1455
271,,1502
272,,1495
273,,1434
274,,1442
275,,1471
276,,1457
277,,1349
278,,1462
279,,1421
280,,1438
281,,1487
282,,1455
283,,1447
284,,1484
285,,1464
286,,1409
287,,1490
288,,1424
289,,1509
290,,1494
291,,1430
292,,1451
293,,1521
294,,1469
295,,1423
296,,1488
297,,1467
298,,1438
299,,1436
300,,1444
301,,1455
302,,1413
303,,1400
304,,1388
305,,1448
306,,1366
307,,1409
308,,1446
309,,1407
310,,1353
311,,1450
312,,1389
313,,1373
314,,1447
315,,1369
316,,1329
