Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,917.00
Elapsed Live Time:,
Start Time:,Thursday, February 26, 2026, 15:23:10
End Time:,Thursday, February 26, 2026, 15:38:27
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,1
12,,7
13,,29
14,,65
15,,18
16,,2
17,,10
18,,22
19,,62
20,,150
21,,338
22,,646
23,,867
24,,1384
25,,1814
26,,2262
27,,2686
28,,2981
29,,3371
30,,3629
31,,3819
32,,4035
33,,4250
34,,4323
35,,4426
36,,4545
37,,4478
38,,4623
39,,4645
40,,4681
41,,4726
42,,4818
43,,4800
44,,4876
45,,4778
46,,4901
47,,4766
48,,4935
49,,4876
50,,4989
51,,4901
52,,4883
53,,4877
54,,4994
55,,4869
56,,4947
57,,4941
58,,4835
59,,4865
60,,5023
61,,4839
62,,4971
63,,4798
64,,4933
65,,4827
66,,5072
67,,4930
68,,5077
69,,4822
70,,4925
71,,4983
72,,5008
73,,4957
74,,5011
75,,4878
76,,4977
77,,4978
78,,4905
79,,4855
80,,4952
81,,4936
82,,4916
83,,4916
84,,4887
85,,4783
86,,4859
87,,4835
88,,4717
89,,4723
90,,4851
91,,4755
92,,4792
93,,4706
94,,4735
95,,4715
96,,4743
97,,4724
98,,4702
99,,4675
100,,4637
101,,4625
102,,4824
103,,4772
104,,4781
105,,4629
106,,4841
107,,4804
108,,4865
109,,4914
110,,4981
111,,5028
112,,5206
113,,5184
114,,5505
115,,5425
116,,5524
117,,5780
118,,5943
119,,6139
120,,6252
121,,6211
122,,6515
123,,6602
124,,6570
125,,6649
126,,6512
127,,6592
128,,9797
129,,3058
130,,6531
131,,6087
132,,6125
133,,6126
134,,5883
135,,5880
136,,5898
137,,5556
138,,5551
139,,5458
140,,5507
141,,5319
142,,5300
143,,5094
144,,5236
145,,5054
146,,4974
147,,5047
148,,5110
149,,4996
150,,4904
151,,4885
152,,4779
153,,4806
154,,4852
155,,4594
156,,4850
157,,4772
158,,4712
159,,4681
160,,4693
161,,4621
162,,4787
163,,4697
164,,4657
165,,4536
166,,4604
167,,4575
168,,4472
169,,4561
170,,4611
171,,4486
172,,4508
173,,4516
174,,4494
175,,4423
176,,4480
177,,4427
178,,4405
179,,4256
180,,4358
181,,4250
182,,4298
183,,4305
184,,4255
185,,4281
186,,4151
187,,4162
188,,4383
189,,4119
190,,4154
191,,4084
192,,4831
193,,3414
194,,4145
195,,3999
196,,4046
197,,4032
198,,3995
199,,4084
200,,4066
201,,4061
202,,3924
203,,3963
204,,3989
205,,3933
206,,3837
207,,4022
208,,3974
209,,4023
210,,3935
211,,3837
212,,3746
213,,3802
214,,3813
215,,3783
216,,3774
217,,3755
218,,3691
219,,3732
220,,3689
221,,3885
222,,3745
223,,3740
224,,4073
225,,3349
226,,3825
227,,3736
228,,3623
229,,3618
230,,3637
231,,3564
232,,3473
233,,3658
234,,3576
235,,3532
236,,3573
237,,3559
238,,3547
239,,3432
240,,3523
241,,3494
242,,3444
243,,3433
244,,3474
245,,3469
246,,3584
247,,3457
248,,3565
249,,3403
250,,3544
251,,3475
252,,3534
253,,3467
254,,3447
255,,3388
256,,5168
257,,3233
258,,3717
259,,3358
260,,3602
261,,3354
262,,3346
263,,3432
264,,3381
265,,3328
266,,3396
267,,3406
268,,3470
269,,3365
270,,3333
271,,3296
272,,3469
273,,3336
274,,3346
275,,3322
276,,3286
277,,3351
278,,3547
279,,3340
280,,3394
281,,3329
282,,3491
283,,3303
284,,3430
285,,3327
286,,3312
287,,3355
288,,3379
289,,3274
290,,3363
291,,3268
292,,3347
293,,3261
294,,3403
295,,3251
296,,3356
297,,3305
298,,3315
299,,3322
300,,3372
301,,3270
302,,3285
303,,3284
304,,3320
305,,3277
306,,3409
307,,3275
308,,3262
309,,3182
310,,3180
311,,3285
312,,3407
313,,3435
314,,3245
315,,3276
