Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,907.00
Elapsed Live Time:,
Start Time:,Tuesday, March 03, 2026, 14:29:02
End Time:,Tuesday, March 03, 2026, 14:44:09
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,4
13,,3
14,,6
15,,6
16,,3
17,,0
18,,1
19,,0
20,,5
21,,7
22,,28
23,,46
24,,93
25,,128
26,,241
27,,368
28,,518
29,,723
30,,875
31,,1017
32,,1221
33,,1408
34,,1524
35,,1652
36,,1833
37,,1870
38,,2045
39,,2087
40,,2161
41,,2277
42,,2515
43,,2382
44,,2566
45,,2627
46,,2759
47,,2720
48,,2887
49,,2811
50,,2914
51,,2961
52,,2988
53,,2900
54,,2910
55,,2771
56,,2760
57,,2836
58,,2815
59,,2714
60,,2723
61,,2723
62,,2769
63,,2653
64,,2717
65,,2719
66,,2919
67,,2743
68,,2700
69,,2707
70,,2738
71,,2769
72,,2702
73,,2673
74,,2711
75,,2633
76,,2678
77,,2665
78,,2731
79,,2687
80,,2758
81,,2714
82,,2611
83,,2631
84,,2697
85,,2741
86,,2583
87,,2597
88,,2563
89,,2610
90,,2607
91,,2399
92,,2506
93,,2437
94,,2537
95,,2500
96,,2396
97,,2431
98,,2446
99,,2356
100,,2456
101,,2455
102,,2487
103,,2362
104,,2425
105,,2425
106,,2340
107,,2438
108,,2458
109,,2355
110,,2437
111,,2377
112,,2379
113,,2361
114,,2361
115,,2385
116,,2423
117,,2432
118,,2442
119,,2479
120,,2695
121,,2629
122,,2660
123,,2660
124,,2768
125,,2893
126,,2823
127,,2948
128,,4411
129,,1382
130,,3098
131,,3037
132,,2964
133,,2969
134,,3018
135,,2907
136,,2894
137,,2836
138,,2839
139,,2775
140,,2839
141,,2706
142,,2668
143,,2613
144,,2517
145,,2555
146,,2384
147,,2363
148,,2215
149,,2240
150,,2159
151,,2057
152,,2178
153,,2185
154,,2052
155,,1951
156,,2000
157,,1944
158,,1993
159,,1897
160,,1902
161,,1829
162,,1981
163,,1791
164,,1811
165,,1744
166,,1903
167,,1720
168,,1771
169,,1667
170,,1769
171,,1740
172,,1720
173,,1718
174,,1671
175,,1658
176,,1697
177,,1742
178,,1723
179,,1673
180,,1611
181,,1611
182,,1581
183,,1667
184,,1614
185,,1557
186,,1557
187,,1534
188,,1563
189,,1569
190,,1549
191,,1545
192,,1837
193,,1201
194,,1627
195,,1526
196,,1566
197,,1566
198,,1587
199,,1560
200,,1563
201,,1571
202,,1545
203,,1559
204,,1599
205,,1512
206,,1491
207,,1498
208,,1458
209,,1505
210,,1452
211,,1462
212,,1470
213,,1447
214,,1392
215,,1355
216,,1368
217,,1304
218,,1382
219,,1375
220,,1302
221,,1274
222,,1283
223,,1319
224,,1457
225,,1072
226,,1298
227,,1261
228,,1257
229,,1282
230,,1244
231,,1244
232,,1244
233,,1176
234,,1217
235,,1185
236,,1211
237,,1221
238,,1146
239,,1213
240,,1179
241,,1139
242,,1155
243,,1174
244,,1182
245,,1124
246,,1202
247,,1214
248,,1181
249,,1219
250,,1180
251,,1149
252,,1130
253,,1148
254,,1108
255,,1055
256,,1701
257,,991
258,,1217
259,,1121
260,,1163
261,,1149
262,,1071
263,,1167
264,,1160
265,,1064
266,,1169
267,,1106
268,,1146
269,,1090
270,,1055
271,,1096
272,,1171
273,,1060
274,,1120
275,,1109
276,,1070
277,,1085
278,,1080
279,,1071
280,,1100
281,,1114
282,,1122
283,,1111
284,,1155
285,,1145
286,,1077
287,,1168
288,,1087
289,,1076
290,,1112
291,,1061
292,,1173
293,,1028
294,,1095
295,,1132
296,,1101
297,,1118
298,,1099
299,,1076
300,,1076
301,,1018
302,,1082
303,,1029
304,,1063
305,,1042
306,,1049
307,,1049
308,,1070
309,,1080
310,,1103
311,,1108
312,,1074
313,,1105
314,,1025
315,,1072
316,,1097
