Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,907.00
Elapsed Live Time:,
Start Time:,Thursday, March 05, 2026, 14:25:10
End Time:,Thursday, March 05, 2026, 14:40:17
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,8
9,,77
10,,178
11,,182
12,,251
13,,190
14,,95
15,,38
16,,9
17,,20
18,,76
19,,202
20,,592
21,,1281
22,,2204
23,,3559
24,,4996
25,,6012
26,,6895
27,,6735
28,,6569
29,,5990
30,,5242
31,,4725
32,,4214
33,,3852
34,,3864
35,,3745
36,,3825
37,,3695
38,,3632
39,,3769
40,,3846
41,,3808
42,,3964
43,,3898
44,,4132
45,,4046
46,,4190
47,,4199
48,,4269
49,,4284
50,,4240
51,,4352
52,,4524
53,,4485
54,,4536
55,,4617
56,,4775
57,,4758
58,,4946
59,,4935
60,,5223
61,,5131
62,,5183
63,,5317
64,,5339
65,,5170
66,,5371
67,,5321
68,,5280
69,,5078
70,,5057
71,,5072
72,,5135
73,,5052
74,,5026
75,,4876
76,,4821
77,,4821
78,,4857
79,,4943
80,,5020
81,,4946
82,,4990
83,,4914
84,,5124
85,,4927
86,,4903
87,,5041
88,,5202
89,,4964
90,,5137
91,,5004
92,,5244
93,,5245
94,,5125
95,,4990
96,,5191
97,,5224
98,,5226
99,,5119
100,,5261
101,,5309
102,,5325
103,,5188
104,,5370
105,,5236
106,,5246
107,,5060
108,,5456
109,,5275
110,,5236
111,,5361
112,,5453
113,,5261
114,,5418
115,,5237
116,,5457
117,,5386
118,,5297
119,,5284
120,,5380
121,,5523
122,,5416
123,,5414
124,,5402
125,,5525
126,,5442
127,,5499
128,,8270
129,,2630
130,,5695
131,,5564
132,,5681
133,,5687
134,,5854
135,,5825
136,,6068
137,,6123
138,,6028
139,,6355
140,,6492
141,,6697
142,,6858
143,,7120
144,,7235
145,,7415
146,,7670
147,,7559
148,,7967
149,,7995
150,,8151
151,,8050
152,,8110
153,,8133
154,,8050
155,,7988
156,,8108
157,,7759
158,,7645
159,,7545
160,,7609
161,,7221
162,,7346
163,,6862
164,,6957
165,,6875
166,,6578
167,,6542
168,,6462
169,,6364
170,,6393
171,,5979
172,,5966
173,,5893
174,,5834
175,,5623
176,,5689
177,,5533
178,,5688
179,,5470
180,,5396
181,,5523
182,,5416
183,,5308
184,,5416
185,,5276
186,,5350
187,,5230
188,,5373
189,,5246
190,,5020
191,,5173
192,,6081
193,,3847
194,,5172
195,,4961
196,,5050
197,,4940
198,,4946
199,,4966
200,,4872
201,,4718
202,,4766
203,,4937
204,,4786
205,,4902
206,,4744
207,,4692
208,,4780
209,,4713
210,,4619
211,,4594
212,,4704
213,,4731
214,,4688
215,,4573
216,,4700
217,,4569
218,,4701
219,,4634
220,,4644
221,,4589
222,,4621
223,,4690
224,,5207
225,,3830
226,,4699
227,,4428
228,,4530
229,,4369
230,,4512
231,,4354
232,,4456
233,,4363
234,,4475
235,,4420
236,,4446
237,,4402
238,,4249
239,,4307
240,,4313
241,,4208
242,,4338
243,,4183
244,,4239
245,,4268
246,,4063
247,,4072
248,,4224
249,,4181
250,,4254
251,,4174
252,,4204
253,,4220
254,,4090
255,,4122
256,,6185
257,,3843
258,,4416
259,,4044
260,,4089
261,,4135
262,,4099
263,,4159
264,,4093
265,,4103
266,,4177
267,,4245
268,,4313
269,,4211
270,,4225
271,,4218
272,,4182
273,,4126
274,,4169
275,,4182
276,,4145
277,,4064
278,,4192
279,,4126
280,,4121
281,,4122
282,,4096
283,,4194
284,,4117
285,,4060
286,,3978
287,,4002
288,,4055
289,,3920
290,,4049
291,,3855
292,,4020
293,,3785
294,,3895
295,,3897
296,,3931
297,,3912
298,,3884
299,,3873
300,,3846
301,,3869
302,,3885
303,,3837
304,,3884
305,,3764
306,,3892
307,,3778
308,,3870
309,,3962
310,,3988
311,,3929
312,,3912
313,,3884
314,,3845
315,,3856
