Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,908.00
Elapsed Live Time:,
Start Time:,Tuesday, March 03, 2026, 14:11:54
End Time:,Tuesday, March 03, 2026, 14:27:02
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,7
9,,78
10,,176
11,,133
12,,167
13,,130
14,,73
15,,28
16,,2
17,,3
18,,13
19,,58
20,,179
21,,451
22,,954
23,,1692
24,,2604
25,,3703
26,,4563
27,,4934
28,,5121
29,,4664
30,,4278
31,,3940
32,,3484
33,,3120
34,,2938
35,,2858
36,,2760
37,,2779
38,,2812
39,,2763
40,,2982
41,,2932
42,,3008
43,,3071
44,,3042
45,,3136
46,,3111
47,,3300
48,,3292
49,,3351
50,,3353
51,,3322
52,,3488
53,,3571
54,,3563
55,,3495
56,,3686
57,,3675
58,,3784
59,,3773
60,,3864
61,,3946
62,,3971
63,,4080
64,,4287
65,,4158
66,,4447
67,,4166
68,,4340
69,,4186
70,,4119
71,,4222
72,,4189
73,,4110
74,,3981
75,,3974
76,,4078
77,,4049
78,,4061
79,,4025
80,,4099
81,,3956
82,,4119
83,,4127
84,,4123
85,,4119
86,,4131
87,,4135
88,,4190
89,,4066
90,,4187
91,,4048
92,,4228
93,,4271
94,,4293
95,,4174
96,,4285
97,,4191
98,,4430
99,,4170
100,,4292
101,,4182
102,,4317
103,,4287
104,,4308
105,,4361
106,,4315
107,,4189
108,,4341
109,,4200
110,,4305
111,,4158
112,,4284
113,,4393
114,,4377
115,,4131
116,,4353
117,,4378
118,,4382
119,,4494
120,,4341
121,,4299
122,,4429
123,,4388
124,,4318
125,,4472
126,,4470
127,,4439
128,,6557
129,,2216
130,,4580
131,,4480
132,,4579
133,,4615
134,,4638
135,,4557
136,,4823
137,,4797
138,,4841
139,,4881
140,,5169
141,,5258
142,,5457
143,,5492
144,,5622
145,,5850
146,,5960
147,,5969
148,,6270
149,,6284
150,,6587
151,,6447
152,,6502
153,,6484
154,,6596
155,,6599
156,,6684
157,,6473
158,,6453
159,,6287
160,,6226
161,,6264
162,,6042
163,,6010
164,,5928
165,,5803
166,,5689
167,,5650
168,,5422
169,,5230
170,,5261
171,,5225
172,,5010
173,,4929
174,,4840
175,,4682
176,,4696
177,,4701
178,,4590
179,,4525
180,,4409
181,,4448
182,,4291
183,,4387
184,,4284
185,,4257
186,,4255
187,,4148
188,,4175
189,,4061
190,,4054
191,,4010
192,,4878
193,,3044
194,,4129
195,,3827
196,,3950
197,,3844
198,,3856
199,,3697
200,,3912
201,,3759
202,,3855
203,,3820
204,,3746
205,,3693
206,,3732
207,,3719
208,,3654
209,,3701
210,,3728
211,,3633
212,,3527
213,,3602
214,,3572
215,,3580
216,,3565
217,,3578
218,,3572
219,,3597
220,,3601
221,,3429
222,,3490
223,,3414
224,,3987
225,,2964
226,,3568
227,,3258
228,,3484
229,,3422
230,,3516
231,,3375
232,,3503
233,,3448
234,,3345
235,,3331
236,,3335
237,,3397
238,,3355
239,,3301
240,,3335
241,,3319
242,,3244
243,,3299
244,,3242
245,,3266
246,,3145
247,,3201
248,,3210
249,,3142
250,,3109
251,,3146
252,,3174
253,,3167
254,,3124
255,,3212
256,,4682
257,,2897
258,,3273
259,,3047
260,,3087
261,,3097
262,,3077
263,,3084
264,,3157
265,,3002
266,,3151
267,,3029
268,,3127
269,,3090
270,,3147
271,,3038
272,,3137
273,,3145
274,,3049
275,,3088
276,,3118
277,,3221
278,,3087
279,,2961
280,,3000
281,,3077
282,,3114
283,,3095
284,,2977
285,,3057
286,,2983
287,,2920
288,,2969
289,,2901
290,,2874
291,,2925
292,,2897
293,,2896
294,,2957
295,,3040
296,,2934
297,,2990
298,,2921
299,,2925
300,,2828
301,,2846
302,,2889
303,,2793
304,,3011
305,,2819
306,,2973
307,,2949
308,,2991
309,,2916
310,,2936
311,,2955
312,,2970
313,,2851
314,,2919
315,,2950
