Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,932.00
Elapsed Live Time:,
Start Time:,Thursday, February 26, 2026, 14:41:56
End Time:,Thursday, February 26, 2026, 14:57:28
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,3
9,,26
10,,104
11,,152
12,,236
13,,351
14,,306
15,,114
16,,219
17,,590
18,,1345
19,,2575
20,,4029
21,,5651
22,,7266
23,,8326
24,,8913
25,,9391
26,,9728
27,,9138
28,,9313
29,,9198
30,,9223
31,,9248
32,,9252
33,,9230
34,,9308
35,,9281
36,,9306
37,,9230
38,,9299
39,,9508
40,,9574
41,,9319
42,,9717
43,,9750
44,,9845
45,,9782
46,,9787
47,,9919
48,,9893
49,,10059
50,,10278
51,,10192
52,,10254
53,,10266
54,,10204
55,,10371
56,,10196
57,,10410
58,,10121
59,,10218
60,,10211
61,,10237
62,,10050
63,,9944
64,,10048
65,,9707
66,,10344
67,,9779
68,,9988
69,,9912
70,,9872
71,,9918
72,,9854
73,,9953
74,,10020
75,,9921
76,,10046
77,,10013
78,,10146
79,,9898
80,,10205
81,,10310
82,,10079
83,,10037
84,,10199
85,,10233
86,,10216
87,,10300
88,,10424
89,,10222
90,,10522
91,,10448
92,,10490
93,,10298
94,,10448
95,,10462
96,,10406
97,,10326
98,,10600
99,,10269
100,,10400
101,,10433
102,,10308
103,,10463
104,,10724
105,,10392
106,,10771
107,,10505
108,,10653
109,,10650
110,,10758
111,,10605
112,,10931
113,,10748
114,,10874
115,,10598
116,,10929
117,,10708
118,,10835
119,,11071
120,,11032
121,,11044
122,,10946
123,,10981
124,,11376
125,,11284
126,,11576
127,,11662
128,,18047
129,,5847
130,,12751
131,,12785
132,,12872
133,,13211
134,,13487
135,,13798
136,,14278
137,,14701
138,,14658
139,,14951
140,,15483
141,,15332
142,,15584
143,,15412
144,,15705
145,,15473
146,,15583
147,,15443
148,,15496
149,,14997
150,,15171
151,,14812
152,,14876
153,,14501
154,,14307
155,,14153
156,,14043
157,,13907
158,,13485
159,,13466
160,,13551
161,,13274
162,,13349
163,,12915
164,,13112
165,,12715
166,,13009
167,,12734
168,,12975
169,,12433
170,,12593
171,,12388
172,,12547
173,,12314
174,,12335
175,,12141
176,,12182
177,,12238
178,,12105
179,,11849
180,,12331
181,,12009
182,,11863
183,,11893
184,,11838
185,,11752
186,,11950
187,,11949
188,,11911
189,,11719
190,,11642
191,,11655
192,,12638
193,,10244
194,,11811
195,,11421
196,,11499
197,,11419
198,,11341
199,,11209
200,,11298
201,,11091
202,,11105
203,,11313
204,,11197
205,,11145
206,,11178
207,,10905
208,,11106
209,,10914
210,,10988
211,,10859
212,,11022
213,,10875
214,,10742
215,,10617
216,,10862
217,,10844
218,,10710
219,,10567
220,,10637
221,,10699
222,,10583
223,,10484
224,,11020
225,,9939
226,,10547
227,,10181
228,,10337
229,,10213
230,,10429
231,,10050
232,,10370
233,,10113
234,,10263
235,,10075
236,,10228
237,,10174
238,,9997
239,,9986
240,,9908
241,,9986
242,,9993
243,,9878
244,,10141
245,,9868
246,,9793
247,,9962
248,,9897
249,,9617
250,,9751
251,,9624
252,,9791
253,,9860
254,,9866
255,,9619
256,,14612
257,,8968
258,,10466
259,,9575
260,,9701
261,,9714
262,,9588
263,,9713
264,,9803
265,,9713
266,,9599
267,,9466
268,,9795
269,,9651
270,,9603
271,,9646
272,,9956
273,,9630
274,,9703
275,,9520
276,,9546
277,,9490
278,,9549
279,,9502
280,,9457
281,,9337
282,,9421
283,,9572
284,,9328
285,,9348
286,,9461
287,,9385
288,,9319
289,,9057
290,,9354
291,,9125
292,,9490
293,,9343
294,,9337
295,,9313
296,,9266
297,,9539
298,,9470
299,,9461
300,,9482
301,,9433
302,,9482
303,,9363
304,,9679
305,,9475
306,,9504
307,,9406
308,,9514
309,,9449
310,,9568
311,,9490
312,,9574
313,,9494
314,,9628
