Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,996.00
Elapsed Live Time:,
Start Time:,Tuesday, February 24, 2026, 16:23:27
End Time:,Tuesday, February 24, 2026, 16:40:03
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,9
9,,64
10,,127
11,,237
12,,962
13,,1874
14,,1518
15,,668
16,,423
17,,1354
18,,3938
19,,8893
20,,16628
21,,25583
22,,33920
23,,38944
24,,39759
25,,36687
26,,32339
27,,26536
28,,23030
29,,20537
30,,19900
31,,20948
32,,23131
33,,25577
34,,28564
35,,30892
36,,33474
37,,34497
38,,35497
39,,36019
40,,36551
41,,36266
42,,36652
43,,36718
44,,38603
45,,39806
46,,41055
47,,42048
48,,43244
49,,42948
50,,45026
51,,46628
52,,50907
53,,56776
54,,66133
55,,79072
56,,95682
57,,115203
58,,136427
59,,156832
60,,177374
61,,190670
62,,196297
63,,193681
64,,184055
65,,160182
66,,145965
67,,113989
68,,90366
69,,67322
70,,50506
71,,37219
72,,27961
73,,21141
74,,17659
75,,14765
76,,13939
77,,13368
78,,13056
79,,12954
80,,13669
81,,14161
82,,14882
83,,15112
84,,16282
85,,16878
86,,17987
87,,18784
88,,19672
89,,19840
90,,20016
91,,19932
92,,19585
93,,18868
94,,17629
95,,16739
96,,15994
97,,14981
98,,14658
99,,13566
100,,13198
101,,12680
102,,12819
103,,12876
104,,13155
105,,13024
106,,13695
107,,13669
108,,14058
109,,14230
110,,14856
111,,15379
112,,15803
113,,15995
114,,16975
115,,16661
116,,17505
117,,17809
118,,17984
119,,18271
120,,18739
121,,18936
122,,18789
123,,18667
124,,18739
125,,18552
126,,18295
127,,17958
128,,26783
129,,8272
130,,17473
131,,16539
132,,16358
133,,15842
134,,15682
135,,15383
136,,14996
137,,15032
138,,14459
139,,14138
140,,14400
141,,14013
142,,14098
143,,13612
144,,13798
145,,13409
146,,13908
147,,13357
148,,13435
149,,13165
150,,13005
151,,12673
152,,12725
153,,12412
154,,12271
155,,11978
156,,11765
157,,11411
158,,11435
159,,10969
160,,10750
161,,10435
162,,10393
163,,10130
164,,10269
165,,9980
166,,9799
167,,9728
168,,9757
169,,9693
170,,9540
171,,9574
172,,9391
173,,9256
174,,9081
175,,9163
176,,9066
177,,8636
178,,8889
179,,8500
180,,8303
181,,8108
182,,7933
183,,7664
184,,7615
185,,7337
186,,7207
187,,7036
188,,7126
189,,6871
190,,6784
191,,6710
192,,7679
193,,5811
194,,7140
195,,7052
196,,7092
197,,7286
198,,7878
199,,8160
200,,8711
201,,9499
202,,10128
203,,10862
204,,11716
205,,12576
206,,13277
207,,14184
208,,15036
209,,15922
210,,16730
211,,17619
212,,18447
213,,18976
214,,19980
215,,20201
216,,21143
217,,21477
218,,22583
219,,22678
220,,23858
221,,24579
222,,24934
223,,26387
224,,29283
225,,25723
226,,29703
227,,29699
228,,31755
229,,31951
230,,33249
231,,34099
232,,35155
233,,35352
234,,36210
235,,35792
236,,36157
237,,35590
238,,35548
239,,34104
240,,33260
241,,31356
242,,30752
243,,28677
244,,27243
245,,25736
246,,23668
247,,22574
248,,21091
249,,19794
250,,19093
251,,18304
252,,18703
253,,18774
254,,19222
255,,20405
256,,33940
257,,23285
258,,29425
259,,30553
260,,34145
261,,37633
262,,41917
263,,45875
264,,50718
265,,54630
266,,59528
267,,62968
268,,67807
269,,71823
270,,75728
271,,78466
272,,82185
273,,83885
274,,86725
275,,88004
276,,89486
277,,88960
278,,88748
279,,87415
280,,86144
281,,83959
282,,81835
283,,77451
284,,75119
285,,71198
286,,67550
287,,62927
288,,59280
289,,54545
290,,51929
291,,46979
292,,43894
293,,40707
294,,38247
295,,35441
296,,33540
297,,30559
298,,29153
299,,27002
300,,26090
301,,24451
302,,23511
303,,21982
304,,21166
305,,19742
306,,19281
307,,18126
308,,17092
309,,15917
310,,14932
311,,13881
312,,12977
313,,12005
314,,11293
