Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,926.00
Elapsed Live Time:,
Start Time:,Tuesday, February 24, 2026, 15:58:01
End Time:,Tuesday, February 24, 2026, 16:13:27
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,1
12,,6
13,,34
14,,69
15,,23
16,,1
17,,5
18,,26
19,,59
20,,168
21,,303
22,,553
23,,875
24,,1251
25,,1717
26,,2172
27,,2606
28,,3048
29,,3376
30,,3677
31,,3864
32,,4007
33,,4225
34,,4360
35,,4373
36,,4663
37,,4641
38,,4683
39,,4703
40,,4819
41,,4808
42,,4989
43,,5032
44,,5136
45,,4987
46,,5215
47,,5098
48,,4996
49,,5023
50,,5168
51,,5090
52,,4981
53,,4971
54,,5148
55,,4960
56,,4950
57,,4851
58,,4975
59,,4901
60,,5065
61,,5010
62,,4939
63,,4988
64,,4980
65,,4922
66,,5114
67,,5062
68,,4953
69,,5010
70,,5025
71,,5119
72,,5094
73,,4956
74,,5018
75,,5045
76,,4872
77,,5036
78,,4934
79,,5036
80,,5051
81,,4968
82,,4996
83,,4974
84,,4849
85,,5014
86,,4860
87,,4917
88,,4995
89,,4911
90,,5032
91,,4842
92,,4915
93,,4824
94,,4750
95,,4888
96,,4803
97,,4793
98,,4915
99,,4853
100,,4965
101,,4760
102,,4826
103,,4772
104,,4832
105,,4876
106,,5154
107,,4869
108,,4962
109,,4927
110,,5031
111,,5087
112,,5281
113,,5289
114,,5587
115,,5354
116,,5595
117,,5947
118,,5944
119,,6181
120,,6218
121,,6450
122,,6386
123,,6416
124,,6721
125,,6557
126,,6451
127,,6559
128,,9939
129,,3254
130,,6692
131,,6338
132,,6165
133,,6038
134,,5991
135,,5817
136,,5893
137,,5654
138,,5716
139,,5439
140,,5474
141,,5340
142,,5256
143,,5246
144,,5289
145,,5189
146,,5237
147,,5056
148,,5113
149,,4987
150,,4951
151,,4858
152,,4984
153,,4862
154,,5019
155,,4813
156,,4880
157,,4769
158,,4783
159,,4779
160,,4777
161,,4633
162,,4880
163,,4736
164,,4787
165,,4600
166,,4719
167,,4652
168,,4743
169,,4638
170,,4527
171,,4543
172,,4646
173,,4637
174,,4479
175,,4446
176,,4611
177,,4473
178,,4482
179,,4459
180,,4481
181,,4462
182,,4393
183,,4223
184,,4499
185,,4271
186,,4310
187,,4288
188,,4272
189,,4329
190,,4166
191,,4255
192,,4904
193,,3568
194,,4506
195,,4100
196,,4325
197,,4157
198,,4131
199,,4109
200,,4252
201,,4137
202,,4186
203,,4240
204,,4152
205,,4098
206,,4090
207,,4083
208,,3992
209,,4075
210,,4002
211,,3881
212,,3860
213,,3846
214,,3845
215,,3906
216,,3797
217,,3686
218,,3854
219,,3819
220,,3897
221,,3702
222,,3760
223,,3650
224,,4101
225,,3361
226,,3824
227,,3595
228,,3764
229,,3676
230,,3672
231,,3541
232,,3707
233,,3601
234,,3665
235,,3643
236,,3618
237,,3594
238,,3600
239,,3601
240,,3674
241,,3488
242,,3499
243,,3514
244,,3470
245,,3595
246,,3657
247,,3444
248,,3595
249,,3616
250,,3633
251,,3483
252,,3520
253,,3544
254,,3479
255,,3414
256,,5260
257,,3274
258,,3623
259,,3306
260,,3468
261,,3437
262,,3457
263,,3441
264,,3386
265,,3411
266,,3437
267,,3352
268,,3430
269,,3462
270,,3473
271,,3266
272,,3446
273,,3382
274,,3426
275,,3446
276,,3402
277,,3309
278,,3329
279,,3421
280,,3496
281,,3329
282,,3326
283,,3324
284,,3412
285,,3438
286,,3511
287,,3442
288,,3368
289,,3322
290,,3445
291,,3412
292,,3412
293,,3397
294,,3359
295,,3379
296,,3415
297,,3411
298,,3373
299,,3384
300,,3353
301,,3409
302,,3293
303,,3352
304,,3307
305,,3307
306,,3339
307,,3348
308,,3399
309,,3382
310,,3376
311,,3219
312,,3352
313,,3328
314,,3420
315,,3350
