Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,995.00
Elapsed Live Time:,
Start Time:,Tuesday, February 24, 2026, 16:41:29
End Time:,Tuesday, February 24, 2026, 16:58:04
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,1
13,,7
14,,14
15,,10
16,,3
17,,0
18,,1
19,,1
20,,1
21,,7
22,,11
23,,20
24,,72
25,,108
26,,163
27,,269
28,,433
29,,623
30,,873
31,,1053
32,,1352
33,,1552
34,,1888
35,,2061
36,,2204
37,,2400
38,,2474
39,,2575
40,,2868
41,,2872
42,,2976
43,,3187
44,,3237
45,,3279
46,,3501
47,,3514
48,,3740
49,,3836
50,,3779
51,,3776
52,,3806
53,,3696
54,,3541
55,,3563
56,,3416
57,,3558
58,,3469
59,,3371
60,,3443
61,,3399
62,,3425
63,,3466
64,,3471
65,,3461
66,,3533
67,,3358
68,,3394
69,,3485
70,,3448
71,,3423
72,,3441
73,,3359
74,,3458
75,,3411
76,,3436
77,,3393
78,,3361
79,,3360
80,,3494
81,,3357
82,,3399
83,,3261
84,,3313
85,,3324
86,,3342
87,,3321
88,,3290
89,,3278
90,,3267
91,,3343
92,,3261
93,,3353
94,,3225
95,,3268
96,,3422
97,,3385
98,,3410
99,,3516
100,,3561
101,,3647
102,,3622
103,,3657
104,,3755
105,,3845
106,,3750
107,,3761
108,,3842
109,,3687
110,,3818
111,,3617
112,,3660
113,,3478
114,,3578
115,,3461
116,,3415
117,,3452
118,,3325
119,,3222
120,,3213
121,,3272
122,,3225
123,,3169
124,,3294
125,,3219
126,,3059
127,,3182
128,,4774
129,,1528
130,,3290
131,,3022
132,,3201
133,,2991
134,,3047
135,,3044
136,,2982
137,,2999
138,,2943
139,,2910
140,,2896
141,,2910
142,,2897
143,,2789
144,,2791
145,,2751
146,,2693
147,,2626
148,,2606
149,,2678
150,,2536
151,,2649
152,,2547
153,,2540
154,,2589
155,,2521
156,,2467
157,,2571
158,,2512
159,,2485
160,,2549
161,,2489
162,,2434
163,,2525
164,,2567
165,,2463
166,,2554
167,,2476
168,,2414
169,,2525
170,,2468
171,,2502
172,,2546
173,,2435
174,,2496
175,,2369
176,,2397
177,,2469
178,,2434
179,,2411
180,,2450
181,,2482
182,,2350
183,,2343
184,,2335
185,,2328
186,,2357
187,,2215
188,,2303
189,,2174
190,,2111
191,,2037
192,,2394
193,,1473
194,,1991
195,,1875
196,,1877
197,,1857
198,,1751
199,,1744
200,,1711
201,,1707
202,,1625
203,,1662
204,,1639
205,,1497
206,,1641
207,,1482
208,,1484
209,,1404
210,,1480
211,,1365
212,,1342
213,,1346
214,,1307
215,,1296
216,,1161
217,,1144
218,,1161
219,,1122
220,,1056
221,,1093
222,,1022
223,,1008
224,,1142
225,,816
226,,941
227,,943
228,,899
229,,977
230,,962
231,,940
232,,885
233,,865
234,,880
235,,843
236,,865
237,,792
238,,765
239,,839
240,,830
241,,861
242,,895
243,,752
244,,789
245,,778
246,,821
247,,768
248,,762
249,,783
250,,776
251,,777
252,,763
253,,804
254,,790
255,,747
256,,1162
257,,712
258,,820
259,,757
260,,799
261,,766
262,,774
263,,766
264,,805
265,,922
266,,930
267,,994
268,,1096
269,,1158
270,,1320
271,,1490
272,,1664
273,,1888
274,,2212
275,,2572
276,,3024
277,,3438
278,,3985
279,,4456
280,,5334
281,,5811
282,,6761
283,,7420
284,,8274
285,,8996
286,,9919
287,,11069
288,,11965
289,,12482
290,,13536
291,,13874
292,,14755
293,,15286
294,,15569
295,,15577
296,,16036
297,,15357
298,,15521
299,,14754
300,,14467
301,,13407
302,,12878
303,,11789
304,,10776
305,,9804
306,,9015
307,,7748
308,,6907
309,,6067
310,,5036
311,,4431
312,,3692
313,,2940
314,,2593
315,,2160
316,,1800
317,,1444
318,,1278
319,,1038
320,,1153
321,,408
322,,701
323,,649
324,,573
