Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,718.00
Elapsed Live Time:,
Start Time:,Thursday, February 19, 2026, 17:30:46
End Time:,Thursday, February 19, 2026, 17:42:44
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,5
9,,150
10,,623
11,,748
12,,703
13,,773
14,,468
15,,238
16,,23
17,,6
18,,28
19,,82
20,,218
21,,432
22,,848
23,,1477
24,,2518
25,,3779
26,,5709
27,,7962
28,,10557
29,,13113
30,,15838
31,,18232
32,,20240
33,,21841
34,,24012
35,,24749
36,,26199
37,,26886
38,,27276
39,,28643
40,,29335
41,,29456
42,,30041
43,,30158
44,,31164
45,,31549
46,,31859
47,,32124
48,,32682
49,,32624
50,,33241
51,,32681
52,,33174
53,,32954
54,,33664
55,,33205
56,,33984
57,,33977
58,,34070
59,,33646
60,,33917
61,,34030
62,,34437
63,,33953
64,,34400
65,,33588
66,,35742
67,,34253
68,,35280
69,,34595
70,,35271
71,,35329
72,,35628
73,,35596
74,,35574
75,,35848
76,,36491
77,,35933
78,,36499
79,,36041
80,,36288
81,,35496
82,,36411
83,,36051
84,,36135
85,,36542
86,,36185
87,,36039
88,,36630
89,,36502
90,,36730
91,,36621
92,,37174
93,,37187
94,,37575
95,,37558
96,,37892
97,,37451
98,,39168
99,,38318
100,,39542
101,,39553
102,,40576
103,,41520
104,,43563
105,,44273
106,,46716
107,,48012
108,,50312
109,,51413
110,,53055
111,,54556
112,,56278
113,,56511
114,,57608
115,,56570
116,,57235
117,,56252
118,,55578
119,,55211
120,,54040
121,,52655
122,,51068
123,,49585
124,,48574
125,,47130
126,,45810
127,,44372
128,,65065
129,,20062
130,,42753
131,,40024
132,,40019
133,,39118
134,,38399
135,,37847
136,,38351
137,,37279
138,,37200
139,,36411
140,,36339
141,,35433
142,,35471
143,,34912
144,,35105
145,,34194
146,,34304
147,,33839
148,,33815
149,,33216
150,,33243
151,,33206
152,,32818
153,,32796
154,,32593
155,,32046
156,,32072
157,,31907
158,,31762
159,,31121
160,,31427
161,,31073
162,,31672
163,,30675
164,,30799
165,,30787
166,,30741
167,,29988
168,,30371
169,,30098
170,,30175
171,,29431
172,,29806
173,,29489
174,,29138
175,,29157
176,,29125
177,,28948
178,,28969
179,,28280
180,,28679
181,,28574
182,,28190
183,,28261
184,,28008
185,,28384
186,,28100
187,,27742
188,,27842
189,,27461
190,,27231
191,,27375
192,,32651
193,,21177
194,,28197
195,,27075
196,,27008
197,,26889
198,,26909
199,,26955
200,,26869
201,,26730
202,,26543
203,,26521
204,,26782
205,,26312
206,,26396
207,,26092
208,,26390
209,,25944
210,,26115
211,,25564
212,,25851
213,,25773
214,,25543
215,,25624
216,,25853
217,,25350
218,,25427
219,,25320
220,,25727
221,,25641
222,,25531
223,,25686
224,,29835
225,,21267
226,,26170
227,,25398
228,,25895
229,,25899
230,,25817
231,,26049
232,,26062
233,,25948
234,,26213
235,,25936
236,,26406
237,,26492
238,,26512
239,,26381
240,,26728
241,,26328
242,,26986
243,,26632
244,,26814
245,,27005
246,,27292
247,,27303
248,,27325
249,,27534
250,,27573
251,,27229
252,,27495
253,,27531
254,,26800
255,,27034
256,,40330
257,,25022
258,,27821
259,,25592
260,,25176
261,,24617
262,,24331
263,,23575
264,,23202
265,,22594
266,,22020
267,,20931
268,,20523
269,,19400
270,,18802
271,,17668
272,,17402
273,,16612
274,,15652
275,,14919
276,,14374
277,,13572
278,,13173
279,,12239
280,,11966
281,,11380
282,,10950
283,,10408
284,,10293
285,,9644
286,,9442
287,,8907
288,,8622
289,,8338
290,,8215
291,,7840
292,,7726
293,,7396
294,,7244
295,,7155
296,,6840
297,,6687
298,,6481
299,,6328
300,,6227
301,,6090
302,,5880
303,,5622
304,,5506
305,,5505
306,,5465
307,,5048
308,,5059
309,,4906
310,,4928
311,,4835
312,,4699
313,,4575
314,,4619
315,,4411
