Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,874.00
Elapsed Live Time:,
Start Time:,Thursday, February 26, 2026, 16:20:09
End Time:,Thursday, February 26, 2026, 16:34:43
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,11
10,,50
11,,147
12,,379
13,,815
14,,615
15,,438
16,,1476
17,,2895
18,,5000
19,,7224
20,,9476
21,,11029
22,,12166
23,,12705
24,,13553
25,,13711
26,,14046
27,,14103
28,,14445
29,,14301
30,,14786
31,,14880
32,,15386
33,,15458
34,,16221
35,,15899
36,,16328
37,,16107
38,,16649
39,,16655
40,,17065
41,,17066
42,,16940
43,,17101
44,,17441
45,,17544
46,,17972
47,,17690
48,,17714
49,,17728
50,,18215
51,,18178
52,,18093
53,,17746
54,,17739
55,,17428
56,,17740
57,,17495
58,,17550
59,,17258
60,,17603
61,,17385
62,,17193
63,,17152
64,,17261
65,,16913
66,,18106
67,,17231
68,,17534
69,,17522
70,,17533
71,,17556
72,,17676
73,,17512
74,,17897
75,,17561
76,,17560
77,,17569
78,,17346
79,,17467
80,,17850
81,,17628
82,,17962
83,,17475
84,,17698
85,,17699
86,,17634
87,,17584
88,,17760
89,,17515
90,,17740
91,,17580
92,,17706
93,,17880
94,,17715
95,,17588
96,,17951
97,,17881
98,,18175
99,,17706
100,,18220
101,,18284
102,,18010
103,,18328
104,,18489
105,,18422
106,,18462
107,,18694
108,,18873
109,,18495
110,,18552
111,,18290
112,,18574
113,,18618
114,,18912
115,,18862
116,,19241
117,,19412
118,,19487
119,,19761
120,,19821
121,,20499
122,,20595
123,,20729
124,,21097
125,,21445
126,,22161
127,,22332
128,,33870
129,,11037
130,,23440
131,,22879
132,,23704
133,,23468
134,,23532
135,,23667
136,,23829
137,,23686
138,,23904
139,,23604
140,,23647
141,,23099
142,,23114
143,,22659
144,,23153
145,,22399
146,,22556
147,,22167
148,,22347
149,,21688
150,,21819
151,,21188
152,,21244
153,,20992
154,,21079
155,,20731
156,,20982
157,,20849
158,,20779
159,,20431
160,,20667
161,,20227
162,,20927
163,,19943
164,,20295
165,,20059
166,,20100
167,,19875
168,,19805
169,,19743
170,,19824
171,,19480
172,,19648
173,,19356
174,,19503
175,,19453
176,,19396
177,,19175
178,,19369
179,,18984
180,,19045
181,,19095
182,,18713
183,,18812
184,,18673
185,,18760
186,,18898
187,,18105
188,,18104
189,,18520
190,,18212
191,,17912
192,,18867
193,,16428
194,,18344
195,,17428
196,,17552
197,,17326
198,,17646
199,,17363
200,,17185
201,,17297
202,,17108
203,,16862
204,,17133
205,,16824
206,,16577
207,,16793
208,,16629
209,,16425
210,,16680
211,,16481
212,,16589
213,,16298
214,,16210
215,,15935
216,,16118
217,,16004
218,,16241
219,,15896
220,,16012
221,,15754
222,,15817
223,,15561
224,,15773
225,,14913
226,,15695
227,,15442
228,,15379
229,,15176
230,,15270
231,,14944
232,,15209
233,,14915
234,,15187
235,,15010
236,,15200
237,,14755
238,,14926
239,,14502
240,,14919
241,,14570
242,,15056
243,,14637
244,,14894
245,,14718
246,,14735
247,,14426
248,,14551
249,,14540
250,,14863
251,,14350
252,,14852
253,,14642
254,,14524
255,,14551
256,,21662
257,,13375
258,,15603
259,,14560
260,,14482
261,,14255
262,,14519
263,,14680
264,,14391
265,,14516
266,,14823
267,,14466
268,,14798
269,,14748
270,,15048
271,,14827
272,,15357
273,,15395
274,,15630
275,,16105
276,,16459
277,,16815
278,,17450
279,,18061
280,,18340
281,,19051
282,,20009
283,,20269
284,,21475
285,,22470
286,,23011
287,,23856
288,,24863
289,,25163
290,,26627
291,,26603
292,,27729
293,,27265
294,,27555
295,,28128
296,,28151
297,,27742
298,,27791
299,,26950
300,,27229
301,,26049
302,,25435
303,,24027
304,,23458
305,,22298
306,,21808
307,,20452
308,,20279
309,,19490
310,,18478
311,,17973
312,,17334
313,,16781
314,,16441
