Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,76573.00
Elapsed Live Time:,
Start Time:,Tuesday, February 24, 2026, 17:42:17
End Time:,Wednesday, February 25, 2026, 14:58:30
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,6
8,,773
9,,9456
10,,20162
11,,9276
12,,6799
13,,2085
14,,156
15,,128
16,,22
17,,1
18,,2
19,,3
20,,6
21,,22
22,,44
23,,107
24,,256
25,,484
26,,977
27,,1614
28,,2569
29,,3983
30,,5657
31,,7468
32,,9505
33,,11386
34,,13880
35,,16050
36,,17909
37,,20030
38,,21945
39,,23568
40,,25725
41,,27688
42,,29768
43,,30997
44,,33422
45,,35280
46,,37728
47,,39455
48,,42845
49,,44373
50,,47811
51,,50001
52,,53861
53,,56508
54,,58750
55,,61088
56,,64198
57,,67603
58,,69959
59,,72248
60,,76325
61,,78982
62,,81519
63,,84727
64,,88221
65,,87816
66,,95271
67,,93534
68,,96936
69,,96864
70,,98312
71,,100277
72,,102694
73,,103788
74,,106313
75,,106695
76,,108708
77,,109558
78,,109059
79,,108704
80,,108754
81,,107694
82,,108097
83,,105299
84,,106515
85,,104231
86,,104506
87,,104234
88,,104926
89,,104524
90,,106561
91,,106665
92,,109566
93,,112439
94,,117670
95,,125656
96,,138238
97,,150135
98,,171657
99,,187270
100,,210359
101,,226897
102,,244570
103,,251640
104,,254662
105,,244793
106,,232575
107,,210390
108,,192233
109,,168561
110,,151359
111,,134509
112,,123726
113,,112911
114,,108837
115,,102320
116,,99918
117,,95163
118,,91962
119,,88181
120,,84830
121,,82001
122,,79361
123,,75883
124,,74684
125,,72665
126,,71102
127,,69917
128,,103533
129,,32387
130,,69343
131,,65326
132,,66329
133,,64803
134,,63846
135,,63239
136,,63032
137,,62340
138,,61556
139,,60177
140,,61132
141,,60023
142,,59233
143,,58132
144,,58343
145,,57551
146,,57948
147,,56873
148,,56721
149,,55548
150,,55147
151,,54940
152,,54342
153,,53520
154,,53667
155,,52315
156,,52741
157,,51709
158,,51120
159,,49944
160,,50048
161,,49256
162,,49704
163,,48206
164,,48675
165,,47295
166,,47100
167,,46410
168,,46692
169,,46127
170,,46102
171,,44761
172,,45376
173,,44579
174,,44335
175,,43562
176,,44354
177,,43842
178,,43839
179,,42972
180,,43657
181,,44015
182,,43210
183,,43445
184,,44040
185,,43375
186,,43761
187,,43240
188,,43835
189,,43142
190,,42526
191,,42194
192,,51622
193,,30505
194,,42029
195,,39226
196,,38978
197,,37482
198,,36959
199,,36206
200,,35727
201,,34345
202,,34065
203,,33324
204,,33009
205,,31767
206,,31162
207,,30469
208,,30669
209,,29697
210,,29641
211,,29153
212,,29289
213,,28431
214,,28445
215,,28135
216,,28157
217,,27740
218,,27666
219,,27151
220,,27334
221,,27316
222,,26730
223,,26763
224,,31967
225,,21140
226,,26548
227,,26039
228,,26152
229,,25971
230,,25776
231,,25579
232,,25466
233,,25330
234,,24994
235,,24537
236,,24515
237,,24373
238,,23922
239,,23525
240,,23387
241,,22865
242,,22564
243,,22249
244,,21938
245,,21889
246,,21279
247,,21312
248,,20888
249,,20852
250,,20523
251,,20205
252,,20121
253,,20076
254,,19953
255,,20192
256,,29591
257,,18737
258,,21113
259,,19528
260,,19968
261,,19896
262,,20146
263,,20086
264,,20419
265,,20021
266,,20277
267,,20059
268,,20343
269,,20132
270,,20044
271,,20005
272,,20504
273,,20033
274,,20106
275,,19582
276,,19497
277,,19002
278,,18983
279,,18556
280,,18597
281,,18021
282,,17959
283,,17262
284,,17141
285,,16682
286,,16475
287,,15809
288,,15700
289,,15030
290,,15227
291,,14437
292,,14431
293,,13773
294,,13778
295,,13637
296,,13367
297,,13012
298,,12848
299,,12658
300,,12532
301,,12468
302,,12413
303,,12016
304,,12217
305,,11830
306,,12092
307,,11704
308,,11878
309,,11689
310,,11730
311,,11604
312,,11420
313,,11488
314,,11247
315,,11222
