Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,907.00
Elapsed Live Time:,
Start Time:,Thursday, February 26, 2026, 17:17:55
End Time:,Thursday, February 26, 2026, 17:33:02
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,4
9,,10
10,,51
11,,130
12,,401
13,,770
14,,624
15,,424
16,,1493
17,,3027
18,,5240
19,,7626
20,,9791
21,,11241
22,,12607
23,,13480
24,,13867
25,,13951
26,,14119
27,,13983
28,,14020
29,,14195
30,,14175
31,,14319
32,,14523
33,,14266
34,,14462
35,,14334
36,,14758
37,,14401
38,,14500
39,,14489
40,,14793
41,,14535
42,,14809
43,,14654
44,,14719
45,,14605
46,,14541
47,,14762
48,,14826
49,,14505
50,,14922
51,,14387
52,,14613
53,,14221
54,,14504
55,,14291
56,,14568
57,,14404
58,,14612
59,,14368
60,,14584
61,,14460
62,,14288
63,,14144
64,,14458
65,,13910
66,,14915
67,,14252
68,,14517
69,,14279
70,,14426
71,,14388
72,,14660
73,,14462
74,,14587
75,,14632
76,,15024
77,,14643
78,,14612
79,,14647
80,,14671
81,,14829
82,,14994
83,,14657
84,,14875
85,,14836
86,,14885
87,,14741
88,,14705
89,,14638
90,,14870
91,,14739
92,,14746
93,,14709
94,,14976
95,,14591
96,,14980
97,,14409
98,,15332
99,,14714
100,,15080
101,,14816
102,,15079
103,,15086
104,,15421
105,,15001
106,,15287
107,,14958
108,,15004
109,,15265
110,,15376
111,,15187
112,,15547
113,,15176
114,,15956
115,,15949
116,,16176
117,,16278
118,,16319
119,,16502
120,,17107
121,,17271
122,,17495
123,,17955
124,,18249
125,,18639
126,,18706
127,,18987
128,,28775
129,,9552
130,,20652
131,,19915
132,,20458
133,,20488
134,,20816
135,,20846
136,,20943
137,,21115
138,,20934
139,,20710
140,,20876
141,,20969
142,,20870
143,,20378
144,,20720
145,,20357
146,,20280
147,,20127
148,,19918
149,,19933
150,,19597
151,,19728
152,,19964
153,,19378
154,,19316
155,,19042
156,,19091
157,,19114
158,,18587
159,,18663
160,,18858
161,,18431
162,,18768
163,,18067
164,,18539
165,,18201
166,,18644
167,,18229
168,,18297
169,,18173
170,,18014
171,,17603
172,,18130
173,,17669
174,,17805
175,,17748
176,,17956
177,,17377
178,,17913
179,,17482
180,,17370
181,,17013
182,,17098
183,,17180
184,,17130
185,,17095
186,,16800
187,,16734
188,,17016
189,,16981
190,,16690
191,,16639
192,,16919
193,,15835
194,,17302
195,,16532
196,,16329
197,,16403
198,,16392
199,,16274
200,,16098
201,,16101
202,,16164
203,,15858
204,,16157
205,,15952
206,,15813
207,,15599
208,,15884
209,,15769
210,,15979
211,,15675
212,,15736
213,,15352
214,,15323
215,,15566
216,,15723
217,,15382
218,,15747
219,,15293
220,,15465
221,,15275
222,,15298
223,,14935
224,,15370
225,,14846
226,,15196
227,,15130
228,,15108
229,,14807
230,,14904
231,,15011
232,,14868
233,,14543
234,,14736
235,,14769
236,,14646
237,,14604
238,,14650
239,,14649
240,,14503
241,,14633
242,,14767
243,,14530
244,,14546
245,,14483
246,,14380
247,,14453
248,,14476
249,,14406
250,,14484
251,,14368
252,,14503
253,,14220
254,,14474
255,,14349
256,,21535
257,,13260
258,,15260
259,,14141
260,,14329
261,,14049
262,,14422
263,,13939
264,,14442
265,,14031
266,,14289
267,,14097
268,,14188
269,,14214
270,,13890
271,,14013
272,,14242
273,,13924
274,,14217
275,,13905
276,,14173
277,,14069
278,,14115
279,,13908
280,,14149
281,,14036
282,,14086
283,,13822
284,,13942
285,,13939
286,,14099
287,,13828
288,,14058
289,,13823
290,,14192
291,,13881
292,,14077
293,,14275
294,,14040
295,,13865
296,,14199
297,,14032
298,,14379
299,,14252
300,,14401
301,,14282
302,,14393
303,,14408
304,,14485
305,,14167
306,,14729
307,,14504
308,,14403
309,,14464
310,,14491
311,,14771
312,,14665
313,,14863
314,,14952
