Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,918.00
Elapsed Live Time:,
Start Time:,Tuesday, February 24, 2026, 17:03:40
End Time:,Tuesday, February 24, 2026, 17:18:58
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,5
13,,5
14,,17
15,,13
16,,1
17,,0
18,,0
19,,0
20,,3
21,,5
22,,12
23,,14
24,,57
25,,89
26,,171
27,,253
28,,405
29,,550
30,,756
31,,992
32,,1211
33,,1474
34,,1663
35,,1855
36,,2093
37,,2091
38,,2364
39,,2524
40,,2552
41,,2682
42,,2703
43,,2907
44,,3035
45,,3043
46,,3148
47,,3359
48,,3363
49,,3381
50,,3603
51,,3605
52,,3488
53,,3374
54,,3370
55,,3341
56,,3229
57,,3230
58,,3296
59,,3071
60,,3218
61,,3166
62,,3167
63,,3135
64,,3156
65,,3106
66,,3300
67,,3339
68,,3338
69,,3283
70,,3169
71,,3201
72,,3149
73,,3207
74,,3211
75,,3252
76,,3207
77,,3212
78,,3184
79,,3079
80,,3129
81,,3139
82,,3170
83,,3038
84,,3111
85,,3054
86,,2998
87,,3069
88,,3108
89,,3033
90,,3052
91,,3033
92,,2991
93,,3083
94,,3065
95,,3063
96,,3108
97,,3086
98,,3166
99,,3204
100,,3280
101,,3339
102,,3294
103,,3418
104,,3567
105,,3435
106,,3492
107,,3524
108,,3498
109,,3472
110,,3276
111,,3194
112,,3343
113,,3262
114,,3176
115,,3192
116,,3105
117,,3110
118,,3011
119,,3029
120,,3016
121,,2963
122,,2967
123,,2960
124,,2912
125,,2894
126,,2898
127,,2831
128,,4395
129,,1409
130,,2940
131,,2839
132,,2798
133,,2934
134,,2831
135,,2839
136,,2816
137,,2689
138,,2853
139,,2691
140,,2713
141,,2616
142,,2631
143,,2593
144,,2717
145,,2531
146,,2510
147,,2462
148,,2502
149,,2403
150,,2426
151,,2415
152,,2350
153,,2375
154,,2371
155,,2259
156,,2361
157,,2268
158,,2334
159,,2327
160,,2335
161,,2243
162,,2281
163,,2293
164,,2345
165,,2228
166,,2286
167,,2284
168,,2377
169,,2312
170,,2266
171,,2244
172,,2400
173,,2229
174,,2338
175,,2241
176,,2308
177,,2316
178,,2273
179,,2242
180,,2332
181,,2221
182,,2202
183,,2133
184,,2185
185,,2118
186,,2173
187,,1993
188,,2025
189,,2070
190,,1916
191,,1895
192,,2178
193,,1396
194,,1775
195,,1797
196,,1629
197,,1654
198,,1613
199,,1617
200,,1631
201,,1528
202,,1654
203,,1524
204,,1513
205,,1449
206,,1466
207,,1421
208,,1436
209,,1320
210,,1415
211,,1245
212,,1223
213,,1245
214,,1173
215,,1128
216,,1154
217,,1047
218,,1086
219,,1019
220,,1000
221,,976
222,,952
223,,942
224,,1008
225,,726
226,,887
227,,906
228,,848
229,,889
230,,819
231,,818
232,,798
233,,818
234,,813
235,,819
236,,806
237,,740
238,,817
239,,792
240,,738
241,,744
242,,734
243,,755
244,,724
245,,772
246,,728
247,,756
248,,731
249,,739
250,,740
251,,678
252,,758
253,,753
254,,690
255,,743
256,,1081
257,,677
258,,794
259,,735
260,,735
261,,709
262,,737
263,,796
264,,815
265,,866
266,,861
267,,967
268,,1039
269,,1134
270,,1223
271,,1409
272,,1586
273,,1792
274,,2104
275,,2379
276,,2817
277,,3227
278,,3632
279,,4162
280,,4793
281,,5429
282,,6175
283,,6912
284,,7841
285,,8517
286,,9204
287,,10015
288,,11000
289,,11473
290,,12521
291,,12623
292,,13735
293,,13974
294,,14291
295,,14421
296,,14428
297,,14427
298,,14339
299,,13502
300,,13175
301,,12454
302,,11693
303,,10815
304,,10060
305,,8767
306,,8028
307,,7151
308,,6328
309,,5528
310,,4643
311,,4087
312,,3239
313,,2829
314,,2359
315,,1907
316,,1621
317,,1302
318,,1067
319,,929
320,,1066
321,,381
322,,648
323,,513
324,,530
325,,480
