Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,934.00
Elapsed Live Time:,
Start Time:,Tuesday, February 24, 2026, 17:22:54
End Time:,Tuesday, February 24, 2026, 17:38:28
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,1
12,,11
13,,25
14,,63
15,,19
16,,2
17,,7
18,,24
19,,53
20,,155
21,,310
22,,564
23,,878
24,,1284
25,,1756
26,,2320
27,,2610
28,,3059
29,,3374
30,,3633
31,,3804
32,,4220
33,,4192
34,,4386
35,,4403
36,,4680
37,,4575
38,,4772
39,,4820
40,,4930
41,,4890
42,,5017
43,,4943
44,,5049
45,,5065
46,,5218
47,,5147
48,,5027
49,,5090
50,,5195
51,,5004
52,,5112
53,,5026
54,,4935
55,,4918
56,,5141
57,,4890
58,,5081
59,,4908
60,,5172
61,,5018
62,,4980
63,,5018
64,,5178
65,,4899
66,,5139
67,,5038
68,,5172
69,,5061
70,,5032
71,,4896
72,,5165
73,,5023
74,,5049
75,,5020
76,,5094
77,,4867
78,,5027
79,,4992
80,,5023
81,,5049
82,,5223
83,,5019
84,,5072
85,,4975
86,,4950
87,,4875
88,,4898
89,,4924
90,,4991
91,,4860
92,,5011
93,,4817
94,,4859
95,,4864
96,,4930
97,,4867
98,,4884
99,,4729
100,,4921
101,,4909
102,,4848
103,,4873
104,,4937
105,,4760
106,,5092
107,,4923
108,,4923
109,,4956
110,,5048
111,,5240
112,,5299
113,,5312
114,,5530
115,,5482
116,,5623
117,,5836
118,,6081
119,,6173
120,,6255
121,,6440
122,,6347
123,,6463
124,,6628
125,,6642
126,,6773
127,,6520
128,,9675
129,,3135
130,,6637
131,,6182
132,,6260
133,,6117
134,,6071
135,,5980
136,,5832
137,,5774
138,,5705
139,,5450
140,,5524
141,,5397
142,,5557
143,,5224
144,,5214
145,,5170
146,,5116
147,,5021
148,,5194
149,,4997
150,,5016
151,,5050
152,,4964
153,,4924
154,,4993
155,,4907
156,,4803
157,,4863
158,,4756
159,,4828
160,,4674
161,,4695
162,,4730
163,,4735
164,,4675
165,,4728
166,,4713
167,,4728
168,,4841
169,,4725
170,,4626
171,,4618
172,,4595
173,,4668
174,,4519
175,,4593
176,,4546
177,,4514
178,,4497
179,,4375
180,,4519
181,,4403
182,,4475
183,,4475
184,,4434
185,,4332
186,,4205
187,,4280
188,,4221
189,,4342
190,,4294
191,,4234
192,,4735
193,,3462
194,,4349
195,,4216
196,,4240
197,,4237
198,,4174
199,,4198
200,,4262
201,,4158
202,,4223
203,,4144
204,,4341
205,,4130
206,,4108
207,,4058
208,,4126
209,,4112
210,,4057
211,,3995
212,,3865
213,,4077
214,,3844
215,,3787
216,,3933
217,,3810
218,,3964
219,,3775
220,,3835
221,,3789
222,,3794
223,,3743
224,,4068
225,,3409
226,,3895
227,,3643
228,,3806
229,,3692
230,,3829
231,,3700
232,,3583
233,,3690
234,,3677
235,,3619
236,,3674
237,,3633
238,,3634
239,,3620
240,,3579
241,,3577
242,,3565
243,,3558
244,,3506
245,,3646
246,,3484
247,,3562
248,,3456
249,,3501
250,,3560
251,,3497
252,,3512
253,,3496
254,,3507
255,,3521
256,,5315
257,,3324
258,,3741
259,,3595
260,,3431
261,,3454
262,,3409
263,,3417
264,,3493
265,,3539
266,,3439
267,,3365
268,,3438
269,,3423
270,,3470
271,,3444
272,,3314
273,,3307
274,,3400
275,,3411
276,,3391
277,,3442
278,,3338
279,,3465
280,,3397
281,,3400
282,,3421
283,,3342
284,,3351
285,,3400
286,,3440
287,,3459
288,,3355
289,,3357
290,,3474
291,,3356
292,,3414
293,,3287
294,,3343
295,,3369
296,,3302
297,,3413
298,,3337
299,,3356
300,,3416
301,,3450
302,,3325
303,,3312
304,,3368
305,,3370
306,,3451
307,,3372
308,,3427
309,,3444
310,,3264
311,,3314
312,,3404
313,,3436
314,,3367
315,,3288
