Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,920.00
Elapsed Live Time:,
Start Time:,Thursday, February 26, 2026, 15:41:08
End Time:,Thursday, February 26, 2026, 15:56:28
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,2
11,,1
12,,14
13,,39
14,,57
15,,25
16,,2
17,,6
18,,29
19,,70
20,,153
21,,334
22,,576
23,,960
24,,1328
25,,1792
26,,2273
27,,2701
28,,3106
29,,3426
30,,3613
31,,3813
32,,4063
33,,4112
34,,4363
35,,4250
36,,4503
37,,4462
38,,4528
39,,4581
40,,4647
41,,4737
42,,4740
43,,4621
44,,4773
45,,4920
46,,4779
47,,4828
48,,4934
49,,4967
50,,4875
51,,4846
52,,4975
53,,4871
54,,4815
55,,4906
56,,4907
57,,4843
58,,4991
59,,4752
60,,4963
61,,4840
62,,4904
63,,4884
64,,4774
65,,4811
66,,4926
67,,4873
68,,4957
69,,4911
70,,5045
71,,4774
72,,4896
73,,4809
74,,5000
75,,4810
76,,4942
77,,4799
78,,4858
79,,4891
80,,4929
81,,4767
82,,4814
83,,4775
84,,4931
85,,4761
86,,4808
87,,4885
88,,4903
89,,4755
90,,4789
91,,4651
92,,4894
93,,4750
94,,4832
95,,4715
96,,4739
97,,4685
98,,4827
99,,4575
100,,4712
101,,4746
102,,4847
103,,4953
104,,4798
105,,4754
106,,4821
107,,4779
108,,4792
109,,4771
110,,4943
111,,5101
112,,5058
113,,5080
114,,5383
115,,5439
116,,5523
117,,5834
118,,5801
119,,5944
120,,6234
121,,6323
122,,6295
123,,6344
124,,6549
125,,6636
126,,6672
127,,6371
128,,9829
129,,3006
130,,6444
131,,6148
132,,6047
133,,6032
134,,5838
135,,5944
136,,5763
137,,5625
138,,5685
139,,5415
140,,5478
141,,5211
142,,5187
143,,5183
144,,5130
145,,4987
146,,5019
147,,5044
148,,5060
149,,4864
150,,4874
151,,4945
152,,4788
153,,4876
154,,4770
155,,4770
156,,4666
157,,4796
158,,4696
159,,4788
160,,4766
161,,4608
162,,4693
163,,4642
164,,4622
165,,4606
166,,4578
167,,4657
168,,4554
169,,4498
170,,4645
171,,4491
172,,4634
173,,4546
174,,4445
175,,4452
176,,4499
177,,4456
178,,4541
179,,4258
180,,4432
181,,4261
182,,4378
183,,4344
184,,4314
185,,4257
186,,4164
187,,4128
188,,4282
189,,4223
190,,4257
191,,4335
192,,4765
193,,3472
194,,4361
195,,4106
196,,4149
197,,4117
198,,3937
199,,4022
200,,4172
201,,4125
202,,4074
203,,4124
204,,4153
205,,4002
206,,3992
207,,3944
208,,3885
209,,3932
210,,4014
211,,3813
212,,3930
213,,3870
214,,3866
215,,3699
216,,3779
217,,3772
218,,3844
219,,3642
220,,3719
221,,3686
222,,3643
223,,3562
224,,3889
225,,3335
226,,3803
227,,3589
228,,3729
229,,3577
230,,3596
231,,3566
232,,3678
233,,3541
234,,3643
235,,3602
236,,3489
237,,3538
238,,3644
239,,3516
240,,3523
241,,3506
242,,3543
243,,3458
244,,3470
245,,3539
246,,3483
247,,3488
248,,3499
249,,3458
250,,3447
251,,3407
252,,3463
253,,3425
254,,3422
255,,3481
256,,5151
257,,3273
258,,3632
259,,3340
260,,3455
261,,3429
262,,3509
263,,3372
264,,3381
265,,3506
266,,3369
267,,3510
268,,3413
269,,3383
270,,3422
271,,3394
272,,3410
273,,3338
274,,3483
275,,3441
276,,3464
277,,3355
278,,3393
279,,3523
280,,3330
281,,3354
282,,3419
283,,3436
284,,3423
285,,3355
286,,3362
287,,3340
288,,3336
289,,3347
290,,3370
291,,3305
292,,3357
293,,3241
294,,3355
295,,3227
296,,3322
297,,3414
298,,3375
299,,3336
300,,3317
301,,3391
302,,3259
303,,3248
304,,3347
305,,3252
306,,3357
307,,3236
308,,3399
309,,3326
310,,3351
311,,3327
312,,3266
313,,3357
314,,3361
315,,3240
