Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,915.00
Elapsed Live Time:,
Start Time:,Thursday, February 26, 2026, 14:58:56
End Time:,Thursday, February 26, 2026, 15:14:11
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,4
9,,26
10,,102
11,,171
12,,252
13,,332
14,,263
15,,98
16,,216
17,,584
18,,1328
19,,2569
20,,4023
21,,5639
22,,7108
23,,8075
24,,8932
25,,9118
26,,9459
27,,9308
28,,9288
29,,9019
30,,9220
31,,8927
32,,8988
33,,8936
34,,9140
35,,9065
36,,9082
37,,9173
38,,9275
39,,9150
40,,9668
41,,9433
42,,9440
43,,9353
44,,9522
45,,9580
46,,9689
47,,9579
48,,9758
49,,9795
50,,9898
51,,9904
52,,10136
53,,10131
54,,10083
55,,10055
56,,10173
57,,10157
58,,10128
59,,10028
60,,10242
61,,9974
62,,9847
63,,9918
64,,10101
65,,9537
66,,10289
67,,9722
68,,9855
69,,9694
70,,9931
71,,9758
72,,9888
73,,9789
74,,9857
75,,9897
76,,9916
77,,9672
78,,9706
79,,9844
80,,10018
81,,9793
82,,10096
83,,9981
84,,9963
85,,10264
86,,10270
87,,10083
88,,10251
89,,10337
90,,10144
91,,10051
92,,10337
93,,9957
94,,10171
95,,10245
96,,10322
97,,10268
98,,10511
99,,10191
100,,10374
101,,10228
102,,10477
103,,10409
104,,10408
105,,10313
106,,10440
107,,10338
108,,10354
109,,10466
110,,10526
111,,10409
112,,10614
113,,10402
114,,10699
115,,10433
116,,10421
117,,10702
118,,10566
119,,10720
120,,10813
121,,10782
122,,10999
123,,10865
124,,11167
125,,11348
126,,11348
127,,11560
128,,17758
129,,5655
130,,12550
131,,12292
132,,12918
133,,12992
134,,13335
135,,13397
136,,14123
137,,14173
138,,14424
139,,14813
140,,14997
141,,15275
142,,15161
143,,15183
144,,15392
145,,15371
146,,15196
147,,15359
148,,15133
149,,15023
150,,14587
151,,14612
152,,14481
153,,14186
154,,14202
155,,13828
156,,13706
157,,13686
158,,13526
159,,13269
160,,13272
161,,12965
162,,13088
163,,12596
164,,12983
165,,12518
166,,12532
167,,12386
168,,12286
169,,12340
170,,12491
171,,12199
172,,12334
173,,12158
174,,12109
175,,12050
176,,12167
177,,11722
178,,12228
179,,11914
180,,11858
181,,11668
182,,11725
183,,11737
184,,11809
185,,11895
186,,11584
187,,11490
188,,11605
189,,11503
190,,11326
191,,11474
192,,12125
193,,10160
194,,11598
195,,11131
196,,11225
197,,11010
198,,10954
199,,10944
200,,11216
201,,10734
202,,11038
203,,10913
204,,10982
205,,10899
206,,10766
207,,10918
208,,11124
209,,10805
210,,10815
211,,10447
212,,10696
213,,10593
214,,10674
215,,10437
216,,10390
217,,10519
218,,10483
219,,10389
220,,10705
221,,10279
222,,10345
223,,10277
224,,10856
225,,9903
226,,10528
227,,10258
228,,10274
229,,10214
230,,10133
231,,10062
232,,10138
233,,10034
234,,9974
235,,9945
236,,10020
237,,9870
238,,9825
239,,9828
240,,9823
241,,9681
242,,9772
243,,9555
244,,9829
245,,9614
246,,9558
247,,9737
248,,9471
249,,9738
250,,9691
251,,9349
252,,9640
253,,9697
254,,9671
255,,9518
256,,14523
257,,9034
258,,10441
259,,9616
260,,9534
261,,9381
262,,9498
263,,9425
264,,9621
265,,9330
266,,9514
267,,9386
268,,9680
269,,9483
270,,9387
271,,9280
272,,9407
273,,9449
274,,9402
275,,9355
276,,9475
277,,9146
278,,9440
279,,9320
280,,9282
281,,9286
282,,9336
283,,9125
284,,9113
285,,9230
286,,9238
287,,9145
288,,9156
289,,9030
290,,9281
291,,9108
292,,9210
293,,8861
294,,9204
295,,9115
296,,9193
297,,9023
298,,9336
299,,9282
300,,9214
301,,9166
302,,9316
303,,9296
304,,9297
305,,9249
306,,9278
307,,9389
308,,9390
309,,9306
310,,9288
311,,9305
312,,9266
313,,9547
314,,9715
