Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,921.00
Elapsed Live Time:,
Start Time:,Thursday, February 26, 2026, 15:57:50
End Time:,Thursday, February 26, 2026, 16:13:11
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,2
13,,6
14,,17
15,,11
16,,2
17,,1
18,,0
19,,0
20,,2
21,,2
22,,23
23,,28
24,,60
25,,120
26,,212
27,,311
28,,525
29,,637
30,,883
31,,1092
32,,1363
33,,1545
34,,1799
35,,1972
36,,2138
37,,2238
38,,2461
39,,2608
40,,2738
41,,2811
42,,2855
43,,3037
44,,3053
45,,3235
46,,3514
47,,3461
48,,3564
49,,3645
50,,3912
51,,3813
52,,3807
53,,3629
54,,3559
55,,3449
56,,3424
57,,3376
58,,3358
59,,3230
60,,3216
61,,3384
62,,3194
63,,3215
64,,3303
65,,3190
66,,3467
67,,3245
68,,3283
69,,3284
70,,3290
71,,3310
72,,3405
73,,3254
74,,3365
75,,3279
76,,3247
77,,3259
78,,3234
79,,3279
80,,3215
81,,3231
82,,3293
83,,3122
84,,3167
85,,3255
86,,3157
87,,3177
88,,3177
89,,3127
90,,3097
91,,3204
92,,3220
93,,3268
94,,3238
95,,3111
96,,3252
97,,3249
98,,3319
99,,3170
100,,3471
101,,3549
102,,3445
103,,3524
104,,3580
105,,3615
106,,3622
107,,3638
108,,3612
109,,3590
110,,3377
111,,3387
112,,3361
113,,3336
114,,3287
115,,3235
116,,3151
117,,3213
118,,3083
119,,3124
120,,2999
121,,3130
122,,2990
123,,2977
124,,3077
125,,3037
126,,2986
127,,3102
128,,4522
129,,1359
130,,3029
131,,2939
132,,2990
133,,3013
134,,2919
135,,2861
136,,2942
137,,2813
138,,2849
139,,2754
140,,2753
141,,2691
142,,2727
143,,2685
144,,2722
145,,2558
146,,2577
147,,2602
148,,2478
149,,2546
150,,2447
151,,2408
152,,2383
153,,2270
154,,2433
155,,2376
156,,2268
157,,2388
158,,2425
159,,2365
160,,2377
161,,2288
162,,2484
163,,2339
164,,2280
165,,2341
166,,2313
167,,2271
168,,2328
169,,2339
170,,2333
171,,2304
172,,2329
173,,2461
174,,2296
175,,2409
176,,2333
177,,2238
178,,2346
179,,2318
180,,2341
181,,2352
182,,2229
183,,2258
184,,2184
185,,2232
186,,2172
187,,2060
188,,2074
189,,2084
190,,2043
191,,1974
192,,2354
193,,1405
194,,1877
195,,1745
196,,1698
197,,1774
198,,1661
199,,1645
200,,1605
201,,1691
202,,1558
203,,1605
204,,1616
205,,1541
206,,1497
207,,1454
208,,1451
209,,1374
210,,1411
211,,1319
212,,1315
213,,1289
214,,1203
215,,1168
216,,1153
217,,1160
218,,1133
219,,1028
220,,1028
221,,1060
222,,961
223,,962
224,,1100
225,,736
226,,901
227,,940
228,,892
229,,883
230,,848
231,,821
232,,915
233,,798
234,,826
235,,827
236,,818
237,,819
238,,783
239,,780
240,,770
241,,745
242,,773
243,,762
244,,782
245,,756
246,,782
247,,741
248,,730
249,,730
250,,778
251,,707
252,,718
253,,724
254,,735
255,,703
256,,1100
257,,719
258,,847
259,,751
260,,730
261,,772
262,,784
263,,800
264,,819
265,,825
266,,932
267,,992
268,,1049
269,,1180
270,,1313
271,,1417
272,,1620
273,,1851
274,,2183
275,,2483
276,,2910
277,,3326
278,,3863
279,,4480
280,,5042
281,,5605
282,,6439
283,,7126
284,,7919
285,,8703
286,,9603
287,,10550
288,,11354
289,,11727
290,,12874
291,,13125
292,,13963
293,,13794
294,,14102
295,,14452
296,,14407
297,,14185
298,,13998
299,,13499
300,,13286
301,,12283
302,,11630
303,,10397
304,,9585
305,,8645
306,,7827
307,,6872
308,,6039
309,,5291
310,,4524
311,,3785
312,,3142
313,,2675
314,,2162
315,,1816
316,,1542
317,,1187
318,,978
319,,922
320,,1066
321,,371
322,,603
323,,546
324,,489
325,,504
