Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,905.00
Elapsed Live Time:,
Start Time:,Tuesday, March 03, 2026, 15:36:18
End Time:,Tuesday, March 03, 2026, 15:51:23
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,5
13,,6
14,,17
15,,9
16,,0
17,,0
18,,0
19,,0
20,,5
21,,11
22,,25
23,,40
24,,96
25,,191
26,,282
27,,420
28,,600
29,,774
30,,1100
31,,1181
32,,1374
33,,1560
34,,1733
35,,1876
36,,2061
37,,2152
38,,2344
39,,2459
40,,2591
41,,2578
42,,2740
43,,2757
44,,3107
45,,3051
46,,3221
47,,3367
48,,3561
49,,3596
50,,3701
51,,3481
52,,3383
53,,3323
54,,3145
55,,3132
56,,3080
57,,2996
58,,2950
59,,3040
60,,3074
61,,3023
62,,3043
63,,2963
64,,3031
65,,2976
66,,3166
67,,2952
68,,3040
69,,2961
70,,2972
71,,3011
72,,2930
73,,2931
74,,3071
75,,2980
76,,3078
77,,2916
78,,2973
79,,3082
80,,3024
81,,2920
82,,2917
83,,2903
84,,2908
85,,2915
86,,2838
87,,2980
88,,2891
89,,2935
90,,2828
91,,2824
92,,2890
93,,2829
94,,2754
95,,2659
96,,2799
97,,2760
98,,2749
99,,2643
100,,2715
101,,2644
102,,2651
103,,2646
104,,2631
105,,2682
106,,2632
107,,2630
108,,2694
109,,2588
110,,2631
111,,2643
112,,2647
113,,2615
114,,2670
115,,2512
116,,2684
117,,2660
118,,2785
119,,2716
120,,2775
121,,2890
122,,2828
123,,2896
124,,3005
125,,3180
126,,3114
127,,3177
128,,4762
129,,1610
130,,3196
131,,3125
132,,3230
133,,3228
134,,3104
135,,3116
136,,2998
137,,3075
138,,2975
139,,2943
140,,2895
141,,2732
142,,2795
143,,2562
144,,2760
145,,2654
146,,2608
147,,2492
148,,2433
149,,2372
150,,2361
151,,2303
152,,2229
153,,2141
154,,2247
155,,2084
156,,2213
157,,2093
158,,2111
159,,2004
160,,2032
161,,1958
162,,2015
163,,1987
164,,1949
165,,1952
166,,1804
167,,1893
168,,1835
169,,1924
170,,1863
171,,1893
172,,1854
173,,1860
174,,1912
175,,1928
176,,1800
177,,1768
178,,1853
179,,1845
180,,1760
181,,1829
182,,1766
183,,1786
184,,1709
185,,1693
186,,1693
187,,1667
188,,1650
189,,1700
190,,1696
191,,1655
192,,2076
193,,1247
194,,1782
195,,1674
196,,1820
197,,1834
198,,1733
199,,1783
200,,1815
201,,1736
202,,1822
203,,1846
204,,1877
205,,1846
206,,1756
207,,1790
208,,1810
209,,1755
210,,1723
211,,1622
212,,1661
213,,1664
214,,1583
215,,1581
216,,1550
217,,1531
218,,1502
219,,1400
220,,1452
221,,1365
222,,1337
223,,1416
224,,1581
225,,1105
226,,1324
227,,1311
228,,1416
229,,1328
230,,1266
231,,1255
232,,1332
233,,1251
234,,1299
235,,1276
236,,1311
237,,1261
238,,1218
239,,1230
240,,1298
241,,1274
242,,1207
243,,1177
244,,1210
245,,1255
246,,1227
247,,1153
248,,1207
249,,1183
250,,1107
251,,1204
252,,1177
253,,1253
254,,1186
255,,1147
256,,1735
257,,1107
258,,1214
259,,1122
260,,1143
261,,1131
262,,1133
263,,1184
264,,1162
265,,1154
266,,1174
267,,1095
268,,1142
269,,1111
270,,1169
271,,1121
272,,1165
273,,1129
274,,1102
275,,1117
276,,1142
277,,1159
278,,1110
279,,1119
280,,1177
281,,1116
282,,1121
283,,1110
284,,1145
285,,1110
286,,1137
287,,1154
288,,1111
289,,1093
290,,1080
291,,1132
292,,1167
293,,1130
294,,1098
295,,1176
296,,1213
297,,1115
298,,1120
299,,1129
300,,1117
301,,1040
302,,1147
303,,1062
304,,1100
305,,1111
306,,1130
307,,1099
308,,1103
309,,1119
310,,1071
311,,1034
312,,1138
313,,1099
314,,1033
315,,1015
316,,1100
