Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,904.00
Elapsed Live Time:,
Start Time:,Tuesday, March 03, 2026, 15:19:45
End Time:,Tuesday, March 03, 2026, 15:34:49
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,4
9,,59
10,,159
11,,139
12,,179
13,,135
14,,55
15,,28
16,,2
17,,3
18,,14
19,,54
20,,174
21,,459
22,,970
23,,1698
24,,2670
25,,3805
26,,4657
27,,5034
28,,5130
29,,4687
30,,4359
31,,3956
32,,3503
33,,3196
34,,2933
35,,2847
36,,2817
37,,2824
38,,2934
39,,2929
40,,2944
41,,2999
42,,3112
43,,3110
44,,3187
45,,3178
46,,3301
47,,3331
48,,3391
49,,3449
50,,3433
51,,3611
52,,3724
53,,3643
54,,3700
55,,3824
56,,3955
57,,4018
58,,4019
59,,4035
60,,4220
61,,4428
62,,4302
63,,4493
64,,4657
65,,4470
66,,4702
67,,4542
68,,4577
69,,4393
70,,4472
71,,4305
72,,4307
73,,4254
74,,4106
75,,4146
76,,4302
77,,4071
78,,4047
79,,4150
80,,4167
81,,4122
82,,4202
83,,4237
84,,4168
85,,4234
86,,4317
87,,4219
88,,4282
89,,4298
90,,4360
91,,4245
92,,4296
93,,4241
94,,4334
95,,4139
96,,4368
97,,4341
98,,4400
99,,4425
100,,4436
101,,4376
102,,4340
103,,4371
104,,4447
105,,4248
106,,4444
107,,4415
108,,4475
109,,4305
110,,4518
111,,4391
112,,4442
113,,4508
114,,4346
115,,4425
116,,4631
117,,4531
118,,4546
119,,4540
120,,4544
121,,4588
122,,4468
123,,4442
124,,4606
125,,4569
126,,4464
127,,4626
128,,6896
129,,2218
130,,4704
131,,4607
132,,4629
133,,4694
134,,4636
135,,4746
136,,4899
137,,4907
138,,5179
139,,5064
140,,5517
141,,5299
142,,5453
143,,5677
144,,5823
145,,6059
146,,6019
147,,6164
148,,6297
149,,6428
150,,6515
151,,6460
152,,6697
153,,6493
154,,6784
155,,6614
156,,6786
157,,6658
158,,6539
159,,6473
160,,6293
161,,6231
162,,6228
163,,5935
164,,5979
165,,5721
166,,5800
167,,5428
168,,5422
169,,5357
170,,5256
171,,5140
172,,5087
173,,4994
174,,4896
175,,4709
176,,4698
177,,4510
178,,4647
179,,4329
180,,4463
181,,4488
182,,4312
183,,4290
184,,4351
185,,4375
186,,4167
187,,4153
188,,4142
189,,4237
190,,4089
191,,4124
192,,4728
193,,3157
194,,4054
195,,3858
196,,3982
197,,3943
198,,3959
199,,3843
200,,3861
201,,3891
202,,3845
203,,3853
204,,3798
205,,3763
206,,3646
207,,3722
208,,3672
209,,3645
210,,3698
211,,3606
212,,3784
213,,3712
214,,3628
215,,3758
216,,3670
217,,3592
218,,3567
219,,3511
220,,3502
221,,3589
222,,3522
223,,3659
224,,4071
225,,3074
226,,3616
227,,3472
228,,3548
229,,3517
230,,3506
231,,3411
232,,3527
233,,3491
234,,3561
235,,3463
236,,3542
237,,3263
238,,3373
239,,3384
240,,3388
241,,3295
242,,3367
243,,3301
244,,3340
245,,3250
246,,3285
247,,3173
248,,3227
249,,3258
250,,3057
251,,3096
252,,3110
253,,3172
254,,3166
255,,3100
256,,4751
257,,3089
258,,3435
259,,3148
260,,3225
261,,3161
262,,3153
263,,3203
264,,3268
265,,3167
266,,3332
267,,3293
268,,3332
269,,3280
270,,3372
271,,3178
272,,3298
273,,3385
274,,3286
275,,3231
276,,3192
277,,3242
278,,3235
279,,3295
280,,3247
281,,3240
282,,3293
283,,3142
284,,3210
285,,3073
286,,3071
287,,3100
288,,3025
289,,2974
290,,3126
291,,2982
292,,3021
293,,3061
294,,2911
295,,2995
296,,2992
297,,2981
298,,2987
299,,2930
300,,3013
301,,2839
302,,2969
303,,2873
304,,2915
305,,2983
306,,3009
307,,2875
308,,2903
309,,3007
310,,2899
311,,2958
312,,2980
313,,3031
314,,2894
315,,2945
