Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,909.00
Elapsed Live Time:,
Start Time:,Tuesday, March 03, 2026, 15:02:10
End Time:,Tuesday, March 03, 2026, 15:17:19
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,1
12,,0
13,,1
14,,5
15,,4
16,,2
17,,0
18,,0
19,,1
20,,1
21,,2
22,,5
23,,2
24,,12
25,,34
26,,54
27,,103
28,,149
29,,247
30,,349
31,,451
32,,660
33,,780
34,,912
35,,1061
36,,1193
37,,1334
38,,1401
39,,1477
40,,1662
41,,1702
42,,1846
43,,1873
44,,2088
45,,2195
46,,2300
47,,2402
48,,2603
49,,2654
50,,2782
51,,2795
52,,2774
53,,2781
54,,2538
55,,2492
56,,2462
57,,2452
58,,2398
59,,2213
60,,2354
61,,2254
62,,2359
63,,2284
64,,2457
65,,2215
66,,2295
67,,2366
68,,2344
69,,2231
70,,2282
71,,2359
72,,2329
73,,2335
74,,2309
75,,2165
76,,2247
77,,2145
78,,2251
79,,2170
80,,2162
81,,2098
82,,2132
83,,2154
84,,2250
85,,2170
86,,2118
87,,2197
88,,2115
89,,2065
90,,2077
91,,2103
92,,2144
93,,2143
94,,2048
95,,2005
96,,2012
97,,1998
98,,2050
99,,1972
100,,2105
101,,2049
102,,2000
103,,2074
104,,2119
105,,2079
106,,2106
107,,2102
108,,2176
109,,2058
110,,2058
111,,1936
112,,2016
113,,1895
114,,2001
115,,1953
116,,1871
117,,1843
118,,1813
119,,1747
120,,1677
121,,1659
122,,1700
123,,1706
124,,1668
125,,1665
126,,1524
127,,1578
128,,2345
129,,789
130,,1549
131,,1578
132,,1599
133,,1498
134,,1524
135,,1479
136,,1501
137,,1475
138,,1494
139,,1475
140,,1420
141,,1461
142,,1344
143,,1470
144,,1429
145,,1323
146,,1252
147,,1260
148,,1254
149,,1194
150,,1176
151,,1164
152,,1245
153,,1234
154,,1182
155,,1191
156,,1143
157,,1086
158,,1157
159,,1129
160,,1131
161,,1156
162,,1118
163,,1089
164,,1164
165,,1115
166,,1123
167,,1102
168,,1107
169,,1096
170,,1098
171,,1112
172,,1122
173,,1152
174,,1081
175,,1092
176,,1092
177,,1045
178,,1039
179,,1060
180,,1036
181,,955
182,,951
183,,1004
184,,1030
185,,917
186,,958
187,,991
188,,866
189,,952
190,,842
191,,881
192,,1080
193,,612
194,,931
195,,854
196,,873
197,,890
198,,847
199,,901
200,,894
201,,866
202,,902
203,,879
204,,872
205,,845
206,,912
207,,880
208,,892
209,,863
210,,857
211,,733
212,,793
213,,756
214,,731
215,,705
216,,688
217,,640
218,,578
219,,547
220,,579
221,,528
222,,463
223,,555
224,,589
225,,398
226,,501
227,,475
228,,444
229,,455
230,,404
231,,413
232,,431
233,,394
234,,398
235,,463
236,,391
237,,415
238,,397
239,,358
240,,395
241,,387
242,,389
243,,375
244,,405
245,,378
246,,358
247,,353
248,,335
249,,315
250,,348
251,,351
252,,324
253,,367
254,,361
255,,351
256,,523
257,,312
258,,373
259,,339
260,,338
261,,366
262,,357
263,,374
264,,368
265,,350
266,,387
267,,430
268,,451
269,,454
270,,507
271,,539
272,,648
273,,644
274,,770
275,,893
276,,974
277,,1166
278,,1276
279,,1350
280,,1573
281,,1814
282,,1911
283,,2207
284,,2458
285,,2634
286,,2886
287,,3113
288,,3367
289,,3501
290,,3691
291,,3828
292,,3948
293,,3956
294,,4073
295,,4147
296,,3982
297,,3956
298,,3916
299,,3803
300,,3543
301,,3421
302,,3166
303,,2826
304,,2576
305,,2332
306,,2172
307,,1864
308,,1663
309,,1416
310,,1169
311,,1063
312,,862
313,,795
314,,640
315,,519
316,,455
317,,407
318,,346
319,,289
320,,398
321,,139
322,,301
323,,272
324,,251
325,,257
326,,226
327,,235
328,,253
329,,233
330,,218
331,,234
332,,243
333,,256
334,,237
335,,243
336,,260
337,,219
