Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,914.00
Elapsed Live Time:,
Start Time:,Thursday, March 05, 2026, 14:57:22
End Time:,Thursday, March 05, 2026, 15:12:36
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,2
13,,14
14,,16
15,,17
16,,1
17,,0
18,,0
19,,8
20,,12
21,,28
22,,52
23,,96
24,,201
25,,306
26,,438
27,,659
28,,907
29,,1110
30,,1352
31,,1581
32,,1836
33,,1859
34,,2142
35,,2226
36,,2407
37,,2550
38,,2718
39,,2645
40,,2903
41,,2982
42,,3101
43,,3178
44,,3428
45,,3426
46,,3629
47,,3701
48,,3778
49,,3665
50,,3780
51,,3562
52,,3575
53,,3480
54,,3422
55,,3339
56,,3290
57,,3314
58,,3280
59,,3261
60,,3259
61,,3301
62,,3274
63,,3313
64,,3327
65,,3251
66,,3428
67,,3245
68,,3327
69,,3305
70,,3249
71,,3227
72,,3280
73,,3232
74,,3252
75,,3222
76,,3300
77,,3225
78,,3187
79,,3273
80,,3198
81,,3196
82,,3277
83,,3115
84,,3222
85,,3117
86,,3139
87,,3171
88,,3218
89,,3082
90,,3161
91,,3033
92,,3127
93,,3026
94,,3135
95,,3112
96,,3108
97,,2956
98,,3019
99,,2948
100,,3005
101,,2948
102,,2933
103,,3017
104,,2986
105,,3056
106,,2991
107,,2980
108,,3004
109,,2964
110,,2893
111,,2908
112,,2923
113,,2924
114,,3032
115,,3078
116,,3060
117,,3055
118,,3091
119,,3161
120,,3205
121,,3340
122,,3296
123,,3332
124,,3605
125,,3610
126,,3633
127,,3668
128,,5670
129,,1804
130,,3894
131,,3791
132,,3819
133,,3656
134,,3679
135,,3613
136,,3629
137,,3538
138,,3462
139,,3283
140,,3284
141,,3170
142,,3067
143,,3056
144,,2961
145,,2900
146,,2887
147,,2758
148,,2798
149,,2665
150,,2618
151,,2689
152,,2660
153,,2540
154,,2443
155,,2543
156,,2457
157,,2500
158,,2421
159,,2400
160,,2476
161,,2439
162,,2454
163,,2440
164,,2445
165,,2366
166,,2376
167,,2355
168,,2368
169,,2342
170,,2327
171,,2340
172,,2338
173,,2273
174,,2355
175,,2269
176,,2258
177,,2240
178,,2255
179,,2270
180,,2202
181,,2129
182,,2154
183,,2097
184,,2138
185,,2092
186,,2071
187,,2044
188,,2085
189,,2049
190,,2032
191,,2058
192,,2483
193,,1600
194,,2110
195,,2093
196,,2088
197,,2153
198,,2132
199,,2205
200,,2153
201,,2198
202,,2201
203,,2181
204,,2128
205,,2164
206,,2184
207,,2149
208,,2109
209,,2047
210,,2224
211,,1984
212,,1957
213,,2008
214,,1948
215,,1874
216,,1858
217,,1886
218,,1926
219,,1876
220,,1786
221,,1741
222,,1708
223,,1727
224,,2040
225,,1414
226,,1694
227,,1711
228,,1647
229,,1613
230,,1681
231,,1655
232,,1648
233,,1622
234,,1628
235,,1548
236,,1510
237,,1632
238,,1573
239,,1681
240,,1573
241,,1571
242,,1538
243,,1525
244,,1592
245,,1514
246,,1515
247,,1542
248,,1554
249,,1532
250,,1595
251,,1548
252,,1579
253,,1559
254,,1470
255,,1473
256,,2336
257,,1412
258,,1570
259,,1522
260,,1558
261,,1482
262,,1505
263,,1452
264,,1568
265,,1515
266,,1504
267,,1498
268,,1536
269,,1478
270,,1507
271,,1462
272,,1494
273,,1470
274,,1497
275,,1400
276,,1445
277,,1460
278,,1452
279,,1461
280,,1450
281,,1488
282,,1464
283,,1547
284,,1509
285,,1524
286,,1432
287,,1398
288,,1525
289,,1402
290,,1557
291,,1527
292,,1446
293,,1387
294,,1452
295,,1527
296,,1462
297,,1396
298,,1452
299,,1394
300,,1436
301,,1463
302,,1472
303,,1434
304,,1477
305,,1379
306,,1404
307,,1329
308,,1398
309,,1395
310,,1367
311,,1416
312,,1437
313,,1393
314,,1472
315,,1378
316,,1403
