Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,1302.00
Elapsed Live Time:,
Start Time:,Thursday, March 05, 2026, 15:30:28
End Time:,Thursday, March 05, 2026, 15:52:10
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,5
9,,99
10,,224
11,,278
12,,320
13,,255
14,,135
15,,40
16,,13
17,,27
18,,88
19,,323
20,,770
21,,1677
22,,3130
23,,5026
24,,7102
25,,8542
26,,9439
27,,9576
28,,9199
29,,8531
30,,7502
31,,6618
32,,6026
33,,5522
34,,5545
35,,5102
36,,5321
37,,5143
38,,5217
39,,5325
40,,5489
41,,5393
42,,5523
43,,5480
44,,5833
45,,5710
46,,5759
47,,5782
48,,6015
49,,5975
50,,6252
51,,6048
52,,6160
53,,6267
54,,6464
55,,6349
56,,6481
57,,6639
58,,6753
59,,6907
60,,7088
61,,7097
62,,7051
63,,7114
64,,7377
65,,7173
66,,7506
67,,7125
68,,7398
69,,7036
70,,7034
71,,7006
72,,6924
73,,6966
74,,7094
75,,6857
76,,7068
77,,6971
78,,6873
79,,6876
80,,7181
81,,6838
82,,6910
83,,6952
84,,7154
85,,7017
86,,7010
87,,7131
88,,7169
89,,7092
90,,7393
91,,7096
92,,7356
93,,7235
94,,7191
95,,7257
96,,7228
97,,7356
98,,7481
99,,7283
100,,7570
101,,7369
102,,7420
103,,7254
104,,7561
105,,7339
106,,7695
107,,7361
108,,7495
109,,7469
110,,7398
111,,7747
112,,7476
113,,7403
114,,7611
115,,7238
116,,7527
117,,7486
118,,7505
119,,7587
120,,7583
121,,7614
122,,7656
123,,7552
124,,7614
125,,7747
126,,7513
127,,7801
128,,11757
129,,3693
130,,8137
131,,7735
132,,8045
133,,7910
134,,8124
135,,8378
136,,8452
137,,8607
138,,8733
139,,8942
140,,9288
141,,9504
142,,9810
143,,10062
144,,10423
145,,10569
146,,11168
147,,11005
148,,11218
149,,11259
150,,11522
151,,11463
152,,11723
153,,11460
154,,11524
155,,11292
156,,11490
157,,11251
158,,10998
159,,10748
160,,10677
161,,10132
162,,10389
163,,9873
164,,9872
165,,9601
166,,9391
167,,9214
168,,9084
169,,8846
170,,8655
171,,8598
172,,8523
173,,8415
174,,8283
175,,8159
176,,8199
177,,8140
178,,7892
179,,7856
180,,7833
181,,7647
182,,7746
183,,7679
184,,7626
185,,7595
186,,7475
187,,7454
188,,7496
189,,7359
190,,7279
191,,7331
192,,8654
193,,5567
194,,7393
195,,7099
196,,7145
197,,7106
198,,6932
199,,6993
200,,6872
201,,6989
202,,6908
203,,6756
204,,6841
205,,6923
206,,6759
207,,6630
208,,6678
209,,6651
210,,6696
211,,6714
212,,6622
213,,6752
214,,6605
215,,6460
216,,6587
217,,6697
218,,6815
219,,6338
220,,6449
221,,6482
222,,6524
223,,6510
224,,7490
225,,5440
226,,6713
227,,6394
228,,6460
229,,6304
230,,6463
231,,6341
232,,6266
233,,6297
234,,6185
235,,6173
236,,6271
237,,6112
238,,6241
239,,6158
240,,6032
241,,6097
242,,6133
243,,5818
244,,5989
245,,6014
246,,5810
247,,5927
248,,5837
249,,6111
250,,5816
251,,5990
252,,5924
253,,5937
254,,5772
255,,5900
256,,8739
257,,5363
258,,6261
259,,5651
260,,5954
261,,5741
262,,5844
263,,5839
264,,5787
265,,5777
266,,6064
267,,5689
268,,5887
269,,5785
270,,5741
271,,5792
272,,5733
273,,5883
274,,5894
275,,5852
276,,5926
277,,5844
278,,5696
279,,5758
280,,5723
281,,5750
282,,5687
283,,5587
284,,5652
285,,5537
286,,5659
287,,5536
288,,5676
289,,5458
290,,5604
291,,5626
292,,5499
293,,5361
294,,5584
295,,5407
296,,5503
297,,5477
298,,5487
299,,5423
300,,5637
301,,5489
302,,5506
303,,5451
304,,5413
305,,5368
306,,5528
307,,5594
308,,5400
309,,5525
310,,5434
311,,5656
312,,5617
313,,5570
314,,5672
315,,5566
