Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,912.00
Elapsed Live Time:,
Start Time:,Thursday, March 05, 2026, 15:13:43
End Time:,Thursday, March 05, 2026, 15:28:55
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,1
12,,1
13,,1
14,,6
15,,3
16,,0
17,,0
18,,0
19,,1
20,,0
21,,2
22,,7
23,,17
24,,22
25,,44
26,,87
27,,131
28,,216
29,,324
30,,453
31,,597
32,,726
33,,923
34,,1039
35,,1169
36,,1287
37,,1367
38,,1553
39,,1615
40,,1812
41,,1923
42,,2052
43,,2084
44,,2142
45,,2246
46,,2318
47,,2584
48,,2700
49,,2785
50,,2972
51,,2945
52,,2893
53,,2858
54,,2738
55,,2735
56,,2550
57,,2537
58,,2500
59,,2336
60,,2459
61,,2330
62,,2452
63,,2537
64,,2451
65,,2421
66,,2417
67,,2346
68,,2502
69,,2433
70,,2405
71,,2549
72,,2482
73,,2486
74,,2394
75,,2312
76,,2335
77,,2440
78,,2410
79,,2277
80,,2406
81,,2300
82,,2358
83,,2259
84,,2267
85,,2294
86,,2312
87,,2263
88,,2265
89,,2248
90,,2206
91,,2148
92,,2253
93,,2247
94,,2044
95,,2184
96,,2223
97,,2201
98,,2220
99,,2171
100,,2239
101,,2248
102,,2314
103,,2289
104,,2275
105,,2309
106,,2297
107,,2290
108,,2228
109,,2328
110,,2268
111,,2193
112,,2133
113,,2301
114,,2106
115,,2023
116,,2045
117,,1944
118,,1959
119,,1951
120,,1869
121,,1919
122,,1833
123,,1864
124,,1820
125,,1823
126,,1806
127,,1699
128,,2754
129,,754
130,,1787
131,,1738
132,,1705
133,,1690
134,,1687
135,,1777
136,,1646
137,,1601
138,,1734
139,,1673
140,,1679
141,,1592
142,,1559
143,,1473
144,,1566
145,,1502
146,,1541
147,,1450
148,,1459
149,,1436
150,,1385
151,,1400
152,,1346
153,,1382
154,,1374
155,,1294
156,,1337
157,,1322
158,,1227
159,,1326
160,,1273
161,,1285
162,,1326
163,,1244
164,,1277
165,,1282
166,,1252
167,,1231
168,,1410
169,,1359
170,,1286
171,,1300
172,,1259
173,,1270
174,,1227
175,,1314
176,,1294
177,,1203
178,,1233
179,,1297
180,,1250
181,,1225
182,,1199
183,,1128
184,,1106
185,,1193
186,,1088
187,,1037
188,,1104
189,,1053
190,,1001
191,,1019
192,,1295
193,,677
194,,1024
195,,949
196,,984
197,,988
198,,942
199,,1024
200,,1034
201,,1011
202,,1060
203,,963
204,,979
205,,1020
206,,1041
207,,993
208,,1022
209,,1018
210,,934
211,,935
212,,872
213,,851
214,,830
215,,777
216,,749
217,,734
218,,692
219,,632
220,,622
221,,628
222,,619
223,,608
224,,687
225,,436
226,,553
227,,529
228,,500
229,,514
230,,494
231,,541
232,,489
233,,489
234,,474
235,,428
236,,448
237,,458
238,,463
239,,523
240,,443
241,,413
242,,425
243,,468
244,,446
245,,418
246,,423
247,,423
248,,415
249,,403
250,,433
251,,410
252,,396
253,,387
254,,428
255,,363
256,,656
257,,385
258,,441
259,,403
260,,410
261,,408
262,,425
263,,396
264,,415
265,,423
266,,475
267,,484
268,,560
269,,569
270,,603
271,,714
272,,761
273,,807
274,,923
275,,1065
276,,1254
277,,1460
278,,1600
279,,1867
280,,2024
281,,2313
282,,2597
283,,2853
284,,3072
285,,3393
286,,3768
287,,4107
288,,4499
289,,4655
290,,5000
291,,4977
292,,5309
293,,5516
294,,5555
295,,5552
296,,5554
297,,5333
298,,5281
299,,5040
300,,4893
301,,4581
302,,4326
303,,4062
304,,3624
305,,3331
306,,2997
307,,2486
308,,2251
309,,1984
310,,1646
311,,1431
312,,1133
313,,993
314,,804
315,,703
316,,575
317,,546
318,,440
319,,417
320,,504
321,,187
322,,340
323,,321
324,,273
325,,289
326,,277
327,,291
328,,262
329,,250
330,,248
331,,277
332,,253
333,,260
