Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,907.00
Elapsed Live Time:,
Start Time:,Thursday, March 05, 2026, 15:56:03
End Time:,Thursday, March 05, 2026, 16:11:10
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,9
9,,129
10,,403
11,,569
12,,519
13,,374
14,,299
15,,130
16,,588
17,,1299
18,,2248
19,,3445
20,,4817
21,,5854
22,,6880
23,,7518
24,,8350
25,,8610
26,,9052
27,,9022
28,,9648
29,,9930
30,,10221
31,,10607
32,,11008
33,,11434
34,,12083
35,,12479
36,,13330
37,,13977
38,,14644
39,,15266
40,,16046
41,,16818
42,,17535
43,,18071
44,,18854
45,,18983
46,,19264
47,,19547
48,,19596
49,,19242
50,,19298
51,,18692
52,,18410
53,,18013
54,,17273
55,,16746
56,,16074
57,,15557
58,,14956
59,,14340
60,,13894
61,,13344
62,,13064
63,,12635
64,,12317
65,,11787
66,,12309
67,,11518
68,,11685
69,,11368
70,,11502
71,,11431
72,,11479
73,,11352
74,,11478
75,,11397
76,,11688
77,,11752
78,,11670
79,,11768
80,,12003
81,,11996
82,,12216
83,,12032
84,,12395
85,,12350
86,,12414
87,,12610
88,,12609
89,,12671
90,,12708
91,,12817
92,,12952
93,,13018
94,,13067
95,,12929
96,,13215
97,,12964
98,,13490
99,,13465
100,,13365
101,,13339
102,,13503
103,,13488
104,,13602
105,,13731
106,,13903
107,,13732
108,,14045
109,,13962
110,,14115
111,,14270
112,,14365
113,,14057
114,,14796
115,,14305
116,,14674
117,,14703
118,,14896
119,,14952
120,,14903
121,,14693
122,,15165
123,,15362
124,,15407
125,,15535
126,,15496
127,,15758
128,,23485
129,,7660
130,,16424
131,,15920
132,,16373
133,,15993
134,,16475
135,,16593
136,,16703
137,,16693
138,,16979
139,,16974
140,,17421
141,,17064
142,,17547
143,,17438
144,,17717
145,,17602
146,,18186
147,,17852
148,,18426
149,,18504
150,,18416
151,,18884
152,,19139
153,,19690
154,,19526
155,,19547
156,,20329
157,,20588
158,,20839
159,,21049
160,,21813
161,,22481
162,,23445
163,,23732
164,,24450
165,,25234
166,,25746
167,,26651
168,,27791
169,,28238
170,,28891
171,,29419
172,,30228
173,,30374
174,,30653
175,,30582
176,,31006
177,,30266
178,,30634
179,,29844
180,,29648
181,,28987
182,,27830
183,,27074
184,,25952
185,,25397
186,,24475
187,,23711
188,,22949
189,,21998
190,,21054
191,,20463
192,,22205
193,,16629
194,,19516
195,,18080
196,,18272
197,,17715
198,,17795
199,,17154
200,,17437
201,,17190
202,,17137
203,,16670
204,,16840
205,,16733
206,,16762
207,,16280
208,,16242
209,,16292
210,,16230
211,,15918
212,,16130
213,,15920
214,,15846
215,,15737
216,,15858
217,,15563
218,,15742
219,,15432
220,,15606
221,,15226
222,,15396
223,,15227
224,,16461
225,,14229
226,,15371
227,,15242
228,,15315
229,,15293
230,,15462
231,,15530
232,,15714
233,,15721
234,,15812
235,,15782
236,,15953
237,,16004
238,,16445
239,,16313
240,,16523
241,,16600
242,,17362
243,,17149
244,,17367
245,,17207
246,,17623
247,,17668
248,,17737
249,,17714
250,,17648
251,,17453
252,,17531
253,,17439
254,,17258
255,,17022
256,,25456
257,,15675
258,,17265
259,,15961
260,,15776
261,,15067
262,,15142
263,,14544
264,,14448
265,,13715
266,,13763
267,,13180
268,,12877
269,,12579
270,,12456
271,,11906
272,,11772
273,,11476
274,,11423
275,,11287
276,,11138
277,,10657
278,,10596
279,,10540
280,,10399
281,,10205
282,,10131
283,,10020
284,,9968
285,,9868
286,,9919
287,,9708
288,,9803
289,,9595
290,,9779
291,,9510
292,,9853
293,,9546
294,,9511
295,,9479
296,,9581
297,,9652
298,,9618
299,,9327
300,,9247
301,,9333
302,,9478
303,,9345
304,,9391
305,,9228
306,,9391
307,,9107
308,,9321
309,,9180
310,,9045
311,,9204
312,,8893
313,,8911
314,,9098
