Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,889.00
Elapsed Live Time:,
Start Time:,Thursday, March 05, 2026, 17:19:11
End Time:,Thursday, March 05, 2026, 17:34:00
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,11
9,,97
10,,351
11,,604
12,,471
13,,396
14,,307
15,,140
16,,558
17,,1217
18,,2246
19,,3290
20,,4553
21,,5745
22,,6576
23,,7430
24,,7935
25,,8413
26,,8899
27,,8875
28,,9408
29,,9567
30,,10042
31,,10312
32,,10575
33,,11139
34,,11944
35,,11993
36,,12906
37,,13426
38,,14215
39,,14851
40,,15722
41,,16135
42,,16911
43,,17427
44,,18457
45,,18557
46,,18856
47,,19066
48,,19213
49,,18976
50,,19009
51,,18398
52,,18131
53,,17474
54,,17098
55,,16454
56,,15937
57,,15488
58,,14514
59,,13971
60,,13776
61,,13047
62,,12741
63,,12335
64,,12140
65,,11650
66,,11880
67,,11379
68,,11416
69,,11163
70,,11226
71,,11128
72,,11109
73,,11140
74,,11496
75,,11172
76,,11262
77,,11110
78,,11480
79,,11324
80,,11601
81,,11455
82,,11729
83,,11762
84,,12011
85,,11739
86,,12094
87,,12265
88,,12302
89,,12403
90,,12434
91,,12412
92,,12523
93,,12391
94,,12666
95,,12768
96,,12782
97,,12928
98,,12889
99,,12985
100,,13099
101,,12828
102,,13315
103,,13316
104,,13207
105,,13311
106,,13293
107,,13525
108,,13479
109,,13660
110,,13629
111,,13709
112,,13828
113,,13750
114,,14192
115,,13957
116,,14093
117,,14169
118,,14299
119,,14506
120,,14403
121,,14729
122,,14682
123,,14780
124,,15044
125,,15267
126,,15224
127,,15332
128,,23116
129,,7391
130,,15851
131,,15624
132,,15818
133,,15748
134,,15918
135,,15820
136,,16298
137,,16254
138,,16537
139,,16434
140,,16766
141,,16890
142,,16720
143,,17024
144,,17368
145,,17458
146,,17623
147,,17623
148,,17854
149,,17958
150,,17875
151,,18603
152,,18585
153,,18803
154,,19010
155,,18850
156,,19699
157,,19602
158,,20193
159,,20575
160,,21252
161,,21221
162,,22673
163,,22511
164,,23872
165,,24629
166,,25329
167,,25784
168,,26578
169,,27086
170,,27934
171,,28522
172,,29189
173,,29693
174,,30005
175,,29661
176,,30278
177,,29900
178,,29824
179,,29110
180,,28773
181,,28133
182,,27785
183,,26714
184,,26195
185,,25382
186,,24053
187,,23126
188,,22688
189,,21578
190,,21015
191,,20391
192,,21885
193,,16624
194,,19192
195,,17988
196,,17975
197,,17364
198,,17364
199,,16955
200,,16870
201,,16675
202,,16536
203,,16569
204,,16531
205,,16222
206,,16289
207,,16126
208,,16107
209,,15850
210,,16046
211,,15758
212,,15788
213,,15594
214,,15540
215,,15238
216,,15578
217,,15360
218,,15430
219,,15198
220,,15346
221,,15000
222,,15048
223,,15071
224,,16104
225,,14140
226,,15170
227,,14879
228,,14907
229,,14954
230,,15070
231,,15256
232,,15308
233,,15195
234,,15615
235,,15324
236,,15529
237,,15578
238,,15719
239,,16139
240,,16335
241,,16325
242,,16768
243,,16619
244,,16856
245,,16871
246,,16837
247,,16873
248,,17356
249,,17280
250,,17335
251,,17275
252,,17270
253,,17097
254,,16943
255,,16858
256,,25285
257,,15607
258,,17228
259,,15713
260,,15778
261,,15098
262,,15046
263,,14704
264,,14230
265,,13658
266,,13424
267,,12981
268,,12763
269,,12518
270,,12163
271,,11830
272,,11699
273,,11324
274,,11275
275,,11057
276,,10795
277,,10591
278,,10540
279,,10289
280,,10355
281,,10001
282,,10065
283,,9892
284,,9953
285,,9863
286,,9764
287,,9462
288,,9533
289,,9450
290,,9570
291,,9286
292,,9544
293,,9186
294,,9247
295,,9301
296,,9178
297,,9224
298,,9433
299,,9426
300,,9441
301,,9329
302,,9104
303,,9187
304,,9234
305,,8843
306,,9034
307,,8935
308,,9061
309,,9023
310,,8738
311,,8874
312,,8809
313,,8872
314,,8676
