Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,898.00
Elapsed Live Time:,
Start Time:,Thursday, February 26, 2026, 16:59:58
End Time:,Thursday, February 26, 2026, 17:14:56
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,2
9,,30
10,,87
11,,232
12,,786
13,,1628
14,,1297
15,,865
16,,3023
17,,5976
18,,10497
19,,15167
20,,19692
21,,23041
22,,25603
23,,26527
24,,27682
25,,28239
26,,28419
27,,28363
28,,28677
29,,28614
30,,28638
31,,28614
32,,29304
33,,28315
34,,29362
35,,28648
36,,29191
37,,29149
38,,29150
39,,29255
40,,29554
41,,29523
42,,29830
43,,29495
44,,29875
45,,29781
46,,29930
47,,29405
48,,29367
49,,28720
50,,30142
51,,28539
52,,29339
53,,29228
54,,29005
55,,29061
56,,29297
57,,28873
58,,29438
59,,28818
60,,29439
61,,28664
62,,29301
63,,29191
64,,29238
65,,28296
66,,30039
67,,29188
68,,29548
69,,29219
70,,29531
71,,29434
72,,29724
73,,29225
74,,29582
75,,29400
76,,30006
77,,29744
78,,29963
79,,29546
80,,29895
81,,29981
82,,30249
83,,29681
84,,29963
85,,29994
86,,29994
87,,29901
88,,30190
89,,29896
90,,30312
91,,29981
92,,30143
93,,30023
94,,30240
95,,30070
96,,30269
97,,29855
98,,30680
99,,29888
100,,30339
101,,30157
102,,30295
103,,30296
104,,30984
105,,30279
106,,30922
107,,30576
108,,31217
109,,30678
110,,31298
111,,31106
112,,31764
113,,31479
114,,32520
115,,32182
116,,33005
117,,33037
118,,33615
119,,34619
120,,35281
121,,35870
122,,36420
123,,36775
124,,37940
125,,38363
126,,39222
127,,39821
128,,60471
129,,19852
130,,43074
131,,41705
132,,42862
133,,42451
134,,43174
135,,42851
136,,43382
137,,43161
138,,42948
139,,42322
140,,42897
141,,42540
142,,42070
143,,42148
144,,41505
145,,41084
146,,41303
147,,40439
148,,40611
149,,39954
150,,39716
151,,39703
152,,39510
153,,38936
154,,38949
155,,38392
156,,38516
157,,38188
158,,38117
159,,37825
160,,37815
161,,37150
162,,37760
163,,36926
164,,37208
165,,36425
166,,37021
167,,36563
168,,36406
169,,36049
170,,36393
171,,35798
172,,35685
173,,35761
174,,35909
175,,35097
176,,35355
177,,34650
178,,35135
179,,34484
180,,35038
181,,34266
182,,34301
183,,34564
184,,34264
185,,34227
186,,34262
187,,33616
188,,33955
189,,33680
190,,33598
191,,33110
192,,34567
193,,31700
194,,34088
195,,32976
196,,33404
197,,32651
198,,32900
199,,32620
200,,32769
201,,32094
202,,32715
203,,31879
204,,32521
205,,32034
206,,32339
207,,31618
208,,32043
209,,31494
210,,31598
211,,31347
212,,31470
213,,31204
214,,31354
215,,30913
216,,31086
217,,30793
218,,30811
219,,30636
220,,30751
221,,30608
222,,30648
223,,30289
224,,30763
225,,30062
226,,30873
227,,29869
228,,30460
229,,29482
230,,30195
231,,29650
232,,30228
233,,29501
234,,29751
235,,29262
236,,29490
237,,29439
238,,29288
239,,28948
240,,28882
241,,29052
242,,29563
243,,28972
244,,29405
245,,29264
246,,28999
247,,28868
248,,29080
249,,28893
250,,29026
251,,28734
252,,28828
253,,29165
254,,28673
255,,28798
256,,43188
257,,26489
258,,31126
259,,28296
260,,28937
261,,28587
262,,28655
263,,28361
264,,28636
265,,28284
266,,28627
267,,28253
268,,28499
269,,28223
270,,28212
271,,28138
272,,28250
273,,28012
274,,28569
275,,27982
276,,28232
277,,28296
278,,27949
279,,27763
280,,28229
281,,28138
282,,28036
283,,27525
284,,28264
285,,28090
286,,28053
287,,27915
288,,27996
289,,27795
290,,28379
291,,28028
292,,28395
293,,28171
294,,28308
295,,28033
296,,28561
297,,28091
298,,28208
299,,28014
300,,29026
301,,28529
302,,28647
303,,28478
304,,29088
305,,29048
306,,29171
307,,28863
308,,29286
309,,29172
310,,29277
311,,29121
312,,29744
313,,29803
314,,29831
