Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,907.00
Elapsed Live Time:,
Start Time:,Tuesday, March 03, 2026, 16:55:00
End Time:,Tuesday, March 03, 2026, 17:10:07
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,1
9,,19
10,,53
11,,151
12,,363
13,,723
14,,605
15,,402
16,,1486
17,,2962
18,,5146
19,,7289
20,,9471
21,,11402
22,,12587
23,,13157
24,,13431
25,,13558
26,,13915
27,,13910
28,,14018
29,,14037
30,,14181
31,,14179
32,,14377
33,,14320
34,,14595
35,,14266
36,,14336
37,,14425
38,,14701
39,,14274
40,,14589
41,,14680
42,,14807
43,,14672
44,,14800
45,,14750
46,,14682
47,,14750
48,,14773
49,,14720
50,,14753
51,,14535
52,,14573
53,,14237
54,,14297
55,,14098
56,,14335
57,,14191
58,,13947
59,,14122
60,,14133
61,,13814
62,,14057
63,,13816
64,,14086
65,,13437
66,,14634
67,,14013
68,,14207
69,,13827
70,,13900
71,,14017
72,,14147
73,,13925
74,,14297
75,,14024
76,,14435
77,,14099
78,,14165
79,,14080
80,,14264
81,,14105
82,,14729
83,,14377
84,,14382
85,,14238
86,,14457
87,,14316
88,,14539
89,,14387
90,,14572
91,,14159
92,,14513
93,,14445
94,,14566
95,,14399
96,,14456
97,,14439
98,,14872
99,,14340
100,,14647
101,,14459
102,,14580
103,,14659
104,,14633
105,,14400
106,,14750
107,,14557
108,,15051
109,,14930
110,,14828
111,,14940
112,,15113
113,,14966
114,,15616
115,,15348
116,,15560
117,,15797
118,,15889
119,,15915
120,,16302
121,,16696
122,,17175
123,,17154
124,,17896
125,,18088
126,,18453
127,,18557
128,,28352
129,,9259
130,,20152
131,,19527
132,,20206
133,,19977
134,,20403
135,,20476
136,,20955
137,,20651
138,,20715
139,,20439
140,,20827
141,,20557
142,,20495
143,,20581
144,,20385
145,,19952
146,,20316
147,,19788
148,,20115
149,,19702
150,,19521
151,,19133
152,,19450
153,,19257
154,,19152
155,,18830
156,,18981
157,,18769
158,,18854
159,,18368
160,,18540
161,,18210
162,,18634
163,,18182
164,,18032
165,,17988
166,,18027
167,,17681
168,,17849
169,,17790
170,,17758
171,,17345
172,,17565
173,,17352
174,,17379
175,,17315
176,,17319
177,,17088
178,,17107
179,,17083
180,,16924
181,,16738
182,,17036
183,,16713
184,,16891
185,,16696
186,,16732
187,,16338
188,,16456
189,,16465
190,,16365
191,,16238
192,,16881
193,,15172
194,,16759
195,,15940
196,,16423
197,,15834
198,,15628
199,,16105
200,,16134
201,,15978
202,,15753
203,,15695
204,,15950
205,,15609
206,,15597
207,,15633
208,,15489
209,,15136
210,,15726
211,,15291
212,,15334
213,,15253
214,,15231
215,,15174
216,,15231
217,,15015
218,,15337
219,,14892
220,,15179
221,,15329
222,,15017
223,,14897
224,,15017
225,,14533
226,,15027
227,,14694
228,,14960
229,,14391
230,,14693
231,,14588
232,,14388
233,,14344
234,,14691
235,,14281
236,,14572
237,,14409
238,,14545
239,,14265
240,,14391
241,,14211
242,,14599
243,,14288
244,,14378
245,,14253
246,,14375
247,,14444
248,,14330
249,,14422
250,,14353
251,,14218
252,,14218
253,,14025
254,,14174
255,,14199
256,,21140
257,,12944
258,,15211
259,,14052
260,,14174
261,,13836
262,,13710
263,,13954
264,,14353
265,,14022
266,,14028
267,,13862
268,,13913
269,,13716
270,,13737
271,,13819
272,,14181
273,,13996
274,,13969
275,,13726
276,,13891
277,,13758
278,,13786
279,,13576
280,,13591
281,,13761
282,,13789
283,,13702
284,,13735
285,,13907
286,,13775
287,,13912
288,,13810
289,,13628
290,,13892
291,,13971
292,,13887
293,,13927
294,,14103
295,,13811
296,,14153
297,,13892
298,,13859
299,,13899
300,,14171
301,,13942
302,,13868
303,,13766
304,,14073
305,,13943
306,,14195
307,,14027
308,,14102
309,,14413
310,,14199
311,,14432
312,,14473
313,,14179
314,,14465
