Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,907.00
Elapsed Live Time:,
Start Time:,Tuesday, March 03, 2026, 15:56:45
End Time:,Tuesday, March 03, 2026, 16:11:52
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,3
9,,12
10,,58
11,,138
12,,365
13,,727
14,,601
15,,419
16,,1298
17,,2882
18,,4967
19,,6938
20,,9414
21,,11163
22,,12331
23,,13104
24,,13367
25,,13466
26,,13698
27,,13581
28,,13811
29,,13734
30,,13700
31,,13803
32,,14103
33,,13815
34,,14103
35,,13902
36,,14143
37,,13734
38,,14171
39,,14030
40,,14436
41,,14223
42,,14208
43,,14243
44,,14388
45,,14241
46,,14344
47,,14108
48,,14498
49,,14217
50,,14391
51,,13853
52,,14436
53,,14207
54,,14162
55,,14151
56,,14071
57,,14134
58,,14018
59,,13890
60,,14077
61,,13984
62,,14160
63,,13935
64,,14281
65,,13504
66,,14625
67,,13982
68,,14403
69,,14097
70,,14261
71,,14187
72,,14056
73,,14212
74,,14393
75,,14141
76,,14301
77,,14245
78,,14478
79,,14120
80,,14287
81,,14302
82,,14585
83,,14401
84,,14808
85,,14241
86,,14156
87,,14440
88,,14641
89,,14487
90,,14646
91,,14563
92,,14597
93,,14685
94,,14425
95,,14648
96,,14534
97,,14351
98,,14855
99,,14454
100,,14894
101,,14467
102,,14814
103,,14769
104,,14958
105,,14716
106,,14952
107,,14727
108,,15337
109,,14947
110,,15085
111,,14922
112,,15323
113,,15119
114,,15722
115,,15598
116,,15908
117,,16095
118,,16301
119,,16405
120,,16529
121,,16708
122,,17336
123,,17442
124,,17875
125,,18060
126,,18708
127,,18752
128,,28907
129,,9516
130,,20329
131,,19900
132,,20606
133,,20435
134,,20618
135,,20443
136,,20801
137,,20815
138,,20950
139,,20607
140,,20843
141,,20327
142,,20497
143,,20459
144,,20177
145,,20011
146,,20291
147,,19607
148,,20015
149,,19560
150,,19251
151,,19323
152,,19134
153,,19018
154,,18986
155,,18709
156,,18754
157,,18663
158,,18474
159,,18410
160,,18513
161,,18100
162,,18118
163,,17773
164,,18097
165,,17890
166,,18029
167,,17758
168,,18034
169,,17725
170,,17630
171,,17609
172,,17608
173,,17344
174,,17307
175,,17199
176,,17493
177,,16836
178,,17453
179,,17033
180,,16894
181,,16893
182,,16686
183,,16714
184,,16729
185,,16590
186,,16542
187,,16225
188,,16669
189,,16484
190,,16255
191,,16216
192,,16727
193,,15119
194,,16663
195,,16148
196,,16142
197,,15733
198,,15831
199,,15989
200,,15533
201,,15752
202,,15878
203,,15694
204,,15626
205,,15714
206,,15541
207,,15425
208,,15413
209,,15364
210,,15636
211,,15163
212,,15390
213,,15325
214,,15400
215,,15090
216,,15133
217,,15104
218,,15222
219,,14907
220,,15065
221,,15026
222,,14959
223,,14913
224,,14880
225,,14543
226,,14859
227,,14624
228,,14763
229,,14666
230,,14407
231,,14507
232,,14516
233,,14541
234,,14534
235,,14302
236,,14470
237,,14551
238,,14414
239,,14366
240,,14359
241,,14165
242,,14579
243,,14123
244,,14525
245,,14127
246,,14227
247,,14002
248,,14133
249,,14086
250,,14244
251,,14298
252,,14349
253,,14072
254,,14091
255,,13945
256,,21189
257,,13018
258,,15051
259,,14023
260,,14063
261,,14020
262,,13795
263,,13779
264,,14274
265,,14103
266,,13876
267,,13660
268,,13804
269,,13964
270,,13903
271,,13778
272,,13922
273,,13827
274,,13854
275,,13550
276,,13801
277,,13803
278,,13758
279,,13529
280,,13725
281,,13666
282,,13590
283,,13679
284,,13945
285,,13567
286,,13791
287,,13706
288,,13979
289,,13652
290,,13970
291,,13685
292,,13930
293,,13634
294,,13831
295,,14040
296,,13688
297,,13863
298,,14004
299,,13910
300,,14063
301,,13945
302,,14239
303,,14161
304,,13928
305,,13952
306,,14331
307,,14110
308,,14275
309,,14171
310,,14292
311,,14240
312,,14538
313,,14294
314,,14410
