Spectrum Name:,Cs-137
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,
Fine Gain:,
Upper Discriminator:,
Lower Discriminator:,
Calibration Coefficients:Elapsed Real Time:,912.00
Elapsed Live Time:,
Start Time:,Tuesday, March 03, 2026, 17:13:11
End Time:,Tuesday, March 03, 2026, 17:28:23
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,6
9,,87
10,,195
11,,110
12,,76
13,,29
14,,13
15,,5
16,,0
17,,0
18,,0
19,,0
20,,0
21,,2
22,,5
23,,29
24,,60
25,,117
26,,229
27,,348
28,,500
29,,530
30,,607
31,,595
32,,598
33,,595
34,,585
35,,530
36,,588
37,,604
38,,673
39,,749
40,,723
41,,757
42,,879
43,,849
44,,934
45,,939
46,,999
47,,996
48,,1030
49,,1078
50,,1144
51,,1141
52,,1279
53,,1233
54,,1308
55,,1332
56,,1389
57,,1489
58,,1496
59,,1523
60,,1665
61,,1666
62,,1844
63,,1898
64,,2037
65,,2102
66,,2280
67,,2207
68,,2249
69,,2209
70,,2317
71,,2172
72,,2104
73,,2006
74,,1944
75,,2003
76,,1940
77,,1769
78,,1849
79,,1781
80,,1804
81,,1803
82,,1816
83,,1732
84,,1859
85,,1838
86,,1796
87,,1729
88,,1829
89,,1807
90,,1760
91,,1782
92,,1737
93,,1859
94,,1803
95,,1850
96,,1780
97,,1853
98,,1819
99,,1899
100,,1864
101,,1905
102,,1827
103,,1802
104,,1779
105,,1788
106,,1818
107,,1792
108,,1789
109,,1833
110,,1795
111,,1787
112,,1771
113,,1798
114,,1804
115,,1759
116,,1764
117,,1745
118,,1757
119,,1755
120,,1747
121,,1771
122,,1798
123,,1745
124,,1781
125,,1761
126,,1831
127,,1698
128,,2665
129,,869
130,,1856
131,,1701
132,,1837
133,,1858
134,,1797
135,,1814
136,,1822
137,,1807
138,,1794
139,,1864
140,,1933
141,,2003
142,,2072
143,,2195
144,,2192
145,,2276
146,,2309
147,,2342
148,,2452
149,,2528
150,,2504
151,,2520
152,,2561
153,,2565
154,,2607
155,,2578
156,,2626
157,,2524
158,,2537
159,,2494
160,,2441
161,,2281
162,,2205
163,,1978
164,,2141
165,,1920
166,,1837
167,,1743
168,,1753
169,,1585
170,,1604
171,,1429
172,,1388
173,,1397
174,,1290
175,,1289
176,,1206
177,,1166
178,,1230
179,,1129
180,,1106
181,,1098
182,,1090
183,,1047
184,,1112
185,,1030
186,,1043
187,,1074
188,,989
189,,1017
190,,947
191,,956
192,,1188
193,,674
194,,931
195,,930
196,,848
197,,916
198,,849
199,,843
200,,867
201,,879
202,,867
203,,783
204,,802
205,,787
206,,766
207,,837
208,,786
209,,794
210,,811
211,,766
212,,774
213,,806
214,,811
215,,778
216,,807
217,,754
218,,767
219,,761
220,,757
221,,788
222,,734
223,,757
224,,904
225,,640
226,,781
227,,753
228,,775
229,,755
230,,809
231,,751
232,,715
233,,769
234,,784
235,,739
236,,735
237,,751
238,,699
239,,667
240,,786
241,,710
242,,729
243,,731
244,,714
245,,661
246,,676
247,,693
248,,701
249,,715
250,,598
251,,654
252,,657
253,,671
254,,634
255,,657
256,,917
257,,575
258,,629
259,,603
260,,647
261,,632
262,,634
263,,623
264,,695
265,,685
266,,655
267,,716
268,,738
269,,716
270,,764
271,,703
272,,830
273,,738
274,,805
275,,801
276,,773
277,,776
278,,782
279,,742
280,,778
281,,727
282,,830
283,,675
284,,742
285,,699
286,,690
287,,682
288,,699
289,,688
290,,694
291,,639
292,,607
293,,608
294,,586
295,,554
296,,580
297,,513
298,,574
299,,513
300,,526
301,,475
302,,517
303,,514
304,,556
305,,472
306,,497
307,,509
308,,523
309,,491
310,,508
311,,482
312,,471
313,,484
314,,474
315,,448
316,,459
317,,477
318,,452
319,,507
320,,675
321,,255
322,,476
323,,477
324,,492
325,,502
326,,447
327,,467
328,,467
329,,499
330,,483
331,,469
332,,474
333,,462
334,,497
335,,468
336,,495
337,,450
338,,435
339,,429
340,,458
341,,488
342,,441
343,,478
344,,414
345,,475
